task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a2/049f60	1071831	STAR_INDEX (STAR Index)	COMPLETED	0	2025-07-20 23:54:29.603	157ms	92ms	97.1%	6.5 MB	9.3 MB	715.1 KB	992.8 KB
6	81/245592	1071857	TRIMMOMATIC (SRR23609081)	COMPLETED	0	2025-07-20 23:54:29.618	34.2s	27s	155.9%	502.2 MB	5.6 GB	8 MB	12.1 MB
7	75/9ab20b	1071951	TRIMMOMATIC (SRR23609079)	COMPLETED	0	2025-07-20 23:54:29.661	34.4s	25s	143.0%	620.7 MB	5.3 GB	7.2 MB	2.2 MB
8	10/2550c8	1071782	TRIMMOMATIC (SRR23609085)	COMPLETED	0	2025-07-20 23:54:29.560	38.2s	30s	163.0%	563.8 MB	5.4 GB	13.9 MB	17.4 MB
9	7e/1efccc	1072016	TRIMMOMATIC (SRR23609077)	COMPLETED	0	2025-07-20 23:54:29.691	38.3s	31s	158.1%	554.4 MB	5.4 GB	9 MB	4.1 MB
3	52/92f3d7	1072088	TRIMMOMATIC (SRR23609083)	COMPLETED	0	2025-07-20 23:54:29.712	38.8s	31s	147.7%	760.7 MB	5.4 GB	13.8 MB	17.3 MB
11	d0/f28854	1071978	TRIMMOMATIC (SRR23609078)	COMPLETED	0	2025-07-20 23:54:29.674	40s	31s	150.1%	665.5 MB	5.4 GB	11.3 MB	6.6 MB
4	50/6f4a72	1071936	TRIMMOMATIC (SRR23609080)	COMPLETED	0	2025-07-20 23:54:29.652	40.5s	32s	160.3%	726.6 MB	5.4 GB	11.9 MB	7.3 MB
10	1a/5e08ed	1071791	TRIMMOMATIC (SRR23609084)	COMPLETED	0	2025-07-20 23:54:29.577	40.8s	32s	176.5%	711.2 MB	5.4 GB	16.9 MB	22.1 MB
2	73/b30eec	1071896	TRIMMOMATIC (SRR23609082)	COMPLETED	0	2025-07-20 23:54:29.635	41.2s	34s	168.3%	601.3 MB	5.4 GB	18.2 MB	25.4 MB
5	c3/af67c6	1071813	TRIMMOMATIC (SRR23609086)	COMPLETED	0	2025-07-20 23:54:29.592	41.7s	34s	158.5%	498.8 MB	5.4 GB	10.1 MB	21.5 MB
20	fd/72b755	1083387	FASTQC (SRR23609083)	COMPLETED	0	2025-07-20 23:55:09.574	14s	7.3s	157.0%	230.3 MB	4.2 GB	14.4 MB	2 MB
18	41/caee85	1083158	FASTQC (SRR23609077)	COMPLETED	0	2025-07-20 23:55:08.556	15.9s	8.8s	164.8%	370.4 MB	4.2 GB	16.1 MB	2.3 MB
22	12/b93113	1083577	FASTQC (SRR23609078)	COMPLETED	0	2025-07-20 23:55:10.172	14.8s	7.6s	173.0%	343.6 MB	4.1 GB	17.8 MB	2.6 MB
13	67/1be5b1	1082876	FASTQC (SRR23609081)	COMPLETED	0	2025-07-20 23:55:07.373	17.9s	7.6s	156.4%	224.7 MB	4.2 GB	13.3 MB	1.8 MB
26	67/fce51e	1083721	FASTQC (SRR23609084)	COMPLETED	0	2025-07-20 23:55:10.872	14.7s	7.6s	160.5%	311.4 MB	4.1 GB	16.3 MB	2 MB
16	3d/cb2af1	1083098	FASTQC (SRR23609085)	COMPLETED	0	2025-07-20 23:55:07.988	17.7s	8.6s	143.6%	326.1 MB	4.1 GB	15.4 MB	2.1 MB
24	fc/81e50b	1083595	FASTQC (SRR23609080)	COMPLETED	0	2025-07-20 23:55:10.191	15.7s	8.6s	151.6%	353.5 MB	4.1 GB	18.4 MB	2.6 MB
12	9d/314692	1082884	FASTQC (SRR23609079)	COMPLETED	0	2025-07-20 23:55:07.386	18.6s	8.7s	167.3%	350 MB	4.2 GB	14.6 MB	2.3 MB
30	e6/f27a1c	1084266	FASTQC (SRR23609086)	COMPLETED	0	2025-07-20 23:55:12.302	13.8s	7.8s	162.0%	307.3 MB	4.2 GB	14.5 MB	1.8 MB
28	82/e5f2fd	1083753	FASTQC (SRR23609082)	COMPLETED	0	2025-07-20 23:55:10.902	15.5s	8.7s	171.3%	357.7 MB	4.1 GB	15.6 MB	1.9 MB
32	9f/22c751	1090781	MULTIQC (MultiQC)	COMPLETED	0	2025-07-20 23:55:27.449	8.4s	5.8s	107.0%	144.1 MB	1 GB	28.5 MB	4.4 MB
14	1b/4aec78	1082901	STAR_ALIGN (SRR23609079)	COMPLETED	0	2025-07-20 23:55:07.398	51.2s	51.1s	171.2%	573.5 MB	1 GB	96.4 MB	50.6 MB
33	af/57a56b	1093318	SAMTOOLS_INDEX (SRR23609079)	COMPLETED	0	2025-07-20 23:55:59.696	2.7s	145ms	175.3%	7.3 MB	483.4 MB	4.6 MB	347 B
34	05/60dc4e	1093301	VARIANT_CALLING (SRR23609079)	COMPLETED	0	2025-07-20 23:55:59.674	2.9s	419ms	94.6%	8.6 MB	59.6 MB	5.9 MB	2.9 MB
15	3c/3dd99c	1093157	STAR_ALIGN (SRR23609081)	COMPLETED	0	2025-07-20 23:55:58.656	6.9s	6.8s	95.4%	602.1 MB	982.3 MB	40.5 MB	21.7 MB
36	af/93c839	1094898	VARIANT_CALLING (SRR23609081)	COMPLETED	0	2025-07-20 23:56:06.554	2.3s	226ms	108.5%	22.9 MB	95.5 MB	4.2 MB	2.6 MB
35	d3/00545f	1094921	SAMTOOLS_INDEX (SRR23609081)	COMPLETED	0	2025-07-20 23:56:06.569	2.4s	46ms	188.7%	7.2 MB	483.4 MB	2.6 MB	329 B
17	d8/34b942	1094763	STAR_ALIGN (SRR23609085)	COMPLETED	0	2025-07-20 23:56:05.544	4s	4s	105.8%	573 MB	982.3 MB	67.9 MB	37.2 MB
37	c9/084b77	1095876	SAMTOOLS_INDEX (SRR23609085)	COMPLETED	0	2025-07-20 23:56:09.649	2.4s	76ms	214.7%	7.3 MB	545.6 MB	4 MB	329 B
38	97/c0a998	1095819	VARIANT_CALLING (SRR23609085)	COMPLETED	0	2025-07-20 23:56:09.620	2.6s	263ms	98.4%	26.7 MB	95.5 MB	6.4 MB	2.7 MB
19	6a/61d5d4	1095802	STAR_ALIGN (SRR23609077)	COMPLETED	0	2025-07-20 23:56:09.607	1m 9s	1m 9s	277.5%	617.1 MB	1.1 GB	163 MB	85 MB
21	a2/1f9fa1	1099407	STAR_ALIGN (SRR23609083)	COMPLETED	0	2025-07-20 23:57:18.257	2.9s	2.9s	88.2%	528.6 MB	982.3 MB	57 MB	32.2 MB
39	68/cdffef	1099566	SAMTOOLS_INDEX (SRR23609077)	COMPLETED	0	2025-07-20 23:57:19.286	2.4s	136ms	211.6%	7.2 MB	483.4 MB	8.7 MB	329 B
40	d4/85db17	1099542	VARIANT_CALLING (SRR23609077)	COMPLETED	0	2025-07-20 23:57:19.270	2.6s	268ms	100.2%	24.8 MB	95.5 MB	8.1 MB	3 MB
41	b3/48814e	1100510	SAMTOOLS_INDEX (SRR23609083)	COMPLETED	0	2025-07-20 23:57:21.736	2.5s	58ms	236.2%	7.2 MB	545.6 MB	3.4 MB	329 B
42	33/746263	1100519	VARIANT_CALLING (SRR23609083)	COMPLETED	0	2025-07-20 23:57:21.749	2.6s	218ms	94.2%	26.7 MB	95.5 MB	5.3 MB	2.2 MB
23	e3/c850f9	1100356	STAR_ALIGN (SRR23609078)	COMPLETED	0	2025-07-20 23:57:21.186	4.6s	4.5s	244.4%	665.1 MB	1.1 GB	161.9 MB	88.3 MB
43	91/4e8818	1101577	SAMTOOLS_INDEX (SRR23609078)	COMPLETED	0	2025-07-20 23:57:25.771	2.3s	142ms	251.7%	7.2 MB	483.4 MB	9.1 MB	329 B
44	33/22e1e2	1101557	VARIANT_CALLING (SRR23609078)	COMPLETED	0	2025-07-20 23:57:25.763	2.5s	286ms	107.1%	28.3 MB	95.5 MB	9.5 MB	2.8 MB
25	b1/066e33	1101551	STAR_ALIGN (SRR23609080)	COMPLETED	0	2025-07-20 23:57:25.756	3.5s	3.4s	250.3%	660.4 MB	1.1 GB	175.6 MB	94.9 MB
45	9f/8c7f4c	1102701	SAMTOOLS_INDEX (SRR23609080)	COMPLETED	0	2025-07-20 23:57:30.224	2.2s	110ms	256.2%	7.4 MB	546.6 MB	9.9 MB	329 B
46	c1/766d97	1102716	VARIANT_CALLING (SRR23609080)	COMPLETED	0	2025-07-20 23:57:30.237	2.3s	317ms	96.4%	24.9 MB	95.5 MB	9.9 MB	2.9 MB
27	65/6a85ac	1102543	STAR_ALIGN (SRR23609084)	COMPLETED	0	2025-07-20 23:57:29.216	3.9s	3.9s	135.0%	583.8 MB	982.3 MB	91.5 MB	52 MB
47	5f/327bb0	1103769	SAMTOOLS_INDEX (SRR23609084)	COMPLETED	0	2025-07-20 23:57:34.150	2.3s	64ms	263.9%	7.5 MB	546.5 MB	5.7 MB	329 B
48	fc/76fc64	1103784	VARIANT_CALLING (SRR23609084)	COMPLETED	0	2025-07-20 23:57:34.161	2.4s	245ms	98.6%	23.7 MB	95.5 MB	8.4 MB	2.9 MB
29	40/9b1ade	1103638	STAR_ALIGN (SRR23609082)	COMPLETED	0	2025-07-20 23:57:33.142	3.6s	3.6s	128.0%	648.2 MB	1 GB	83.8 MB	47.9 MB
50	47/11dfe0	1104755	VARIANT_CALLING (SRR23609082)	COMPLETED	0	2025-07-20 23:57:36.785	2.3s	266ms	107.7%	24.5 MB	95.5 MB	7.7 MB	2.9 MB
49	bd/edae2a	1104727	SAMTOOLS_INDEX (SRR23609082)	COMPLETED	0	2025-07-20 23:57:36.773	2.5s	81ms	219.8%	7.5 MB	545.6 MB	5.1 MB	329 B
31	e4/482adf	1104720	STAR_ALIGN (SRR23609086)	COMPLETED	0	2025-07-20 23:57:36.762	3.5s	3.5s	160.8%	646.8 MB	1 GB	103 MB	52.6 MB
52	22/216ff3	1105746	VARIANT_CALLING (SRR23609086)	COMPLETED	0	2025-07-20 23:57:40.333	2.1s	194ms	99.3%	21.9 MB	95.5 MB	5.5 MB	2.9 MB
51	d8/d04d9c	1105732	SAMTOOLS_INDEX (SRR23609086)	COMPLETED	0	2025-07-20 23:57:40.326	2.2s	61ms	198.5%	7 MB	546.5 MB	3.7 MB	329 B
53	8f/56ecb7	1106209	MERGE_VCF (Merge VCF)	COMPLETED	0	2025-07-20 23:57:42.414	206ms	156ms	30.8%	3.1 MB	4.6 MB	410.3 KB	15.5 KB
