Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR23609077_R1	SRR23609077_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130065.0	0.0	51-150	37.0	4.462384192519124	149.96160381347786	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609077_R2	SRR23609077_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130065.0	0.0	50-150	37.0	5.213547072617537	149.96633990696958	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609078_R1	SRR23609078_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127270.0	0.0	50-150	37.0	0.9994499882140332	146.02240905162253	147	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609078_R2	SRR23609078_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127270.0	0.0	50-150	37.0	1.063094209161625	146.89589848353893	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609079_R1	SRR23609079_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75815.0	0.0	51-150	39.0	5.357778803666821	149.96689309503395	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609079_R2	SRR23609079_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75815.0	0.0	60-150	39.0	6.128074919211238	149.97071819560773	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609080_R1	SRR23609080_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139153.0	0.0	50-150	39.0	1.1483762477273218	146.66802727932563	147	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609080_R2	SRR23609080_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139153.0	0.0	50-150	40.0	1.2468290299167104	147.09032503790792	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609081_R1	SRR23609081_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621.0	0.0	50-150	37.0	23.878200978742132	115.97128505217368	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609081_R2	SRR23609081_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621.0	0.0	50-150	37.0	24.212216151834497	115.98992775950907	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609082_R1	SRR23609082_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76264.0	0.0	50-150	37.0	11.651631175915242	119.55310500367146	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609082_R2	SRR23609082_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76264.0	0.0	50-150	37.0	12.010909472359172	120.00023602223854	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609083_R1	SRR23609083_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52424.0	0.0	50-150	37.0	7.754082099801618	118.15138104684877	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609083_R2	SRR23609083_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52424.0	0.0	50-150	37.0	8.051655730199908	118.85464672669006	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609084_R1	SRR23609084_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80070.0	0.0	50-150	42.0	16.464343699263146	127.1706257025103	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609084_R2	SRR23609084_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80070.0	0.0	50-150	42.0	16.655426501810915	127.78239040839266	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609085_R1	SRR23609085_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60128.0	0.0	50-150	41.0	14.755188930282065	128.9833022884513	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609085_R2	SRR23609085_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60128.0	0.0	50-150	41.0	14.988025545502929	129.45993547099522	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609086_R1	SRR23609086_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94190.0	0.0	50-150	42.0	7.833103301836713	128.40624270092366	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609086_R2	SRR23609086_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94190.0	0.0	50-150	42.0	8.672895211805924	128.42797536893514	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
