Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR23609077_R1	95.53761580748088	37.0	149.96160381347786	150	40.0	130065.0
SRR23609077_R2	94.78645292738247	37.0	149.96633990696958	150	40.0	130065.0
SRR23609078_R1	99.00055001178596	37.0	146.02240905162253	147	40.0	127270.0
SRR23609078_R2	98.93690579083838	37.0	146.89589848353893	150	40.0	127270.0
SRR23609079_R1	94.64222119633318	39.0	149.96689309503395	150	40.0	75815.0
SRR23609079_R2	93.87192508078876	39.0	149.97071819560773	150	40.0	75815.0
SRR23609080_R1	98.85162375227267	39.0	146.66802727932563	147	40.0	139153.0
SRR23609080_R2	98.75317097008329	40.0	147.09032503790792	150	40.0	139153.0
SRR23609081_R1	76.12179902125787	37.0	115.97128505217368	150	40.0	38621.0
SRR23609081_R2	75.7877838481655	37.0	115.98992775950907	150	40.0	38621.0
SRR23609082_R1	88.34836882408476	37.0	119.55310500367146	150	40.0	76264.0
SRR23609082_R2	87.98909052764083	37.0	120.00023602223854	150	40.0	76264.0
SRR23609083_R1	92.24591790019838	37.0	118.15138104684877	150	40.0	52424.0
SRR23609083_R2	91.94834426980009	37.0	118.85464672669006	150	40.0	52424.0
SRR23609084_R1	83.53565630073686	42.0	127.1706257025103	150	40.0	80070.0
SRR23609084_R2	83.34457349818908	42.0	127.78239040839266	150	40.0	80070.0
SRR23609085_R1	85.24481106971794	41.0	128.9833022884513	150	40.0	60128.0
SRR23609085_R2	85.01197445449708	41.0	129.45993547099522	150	40.0	60128.0
SRR23609086_R1	92.16689669816328	42.0	128.40624270092366	150	40.0	94190.0
SRR23609086_R2	91.32710478819408	42.0	128.42797536893514	150	40.0	94190.0
