Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR23609077_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007657906022177296)	(6, 0.0007657906022177296)	(7, 0.0007657906022177296)	(8, 0.0007657906022177296)	(9, 0.0007657906022177296)	(10, 0.0007657906022177296)	(12, 0.0011486859033265945)	(14, 0.0015315812044354592)	(16, 0.0015315812044354592)	(18, 0.0015315812044354592)	(20, 0.0015315812044354592)	(22, 0.0019144765055443239)	(24, 0.0022973718066531886)	(26, 0.0022973718066531886)	(28, 0.0022973718066531886)	(30, 0.0022973718066531886)	(32, 0.0022973718066531886)	(34, 0.0022973718066531886)	(36, 0.0022973718066531886)	(38, 0.0022973718066531886)	(40, 0.0022973718066531886)	(42, 0.0030631624088709184)	(44, 0.0030631624088709184)	(46, 0.0030631624088709184)	(48, 0.0030631624088709184)	(50, 0.0030631624088709184)	(52, 0.003446057709979783)	(54, 0.0042118483121975124)	(56, 0.004594743613306377)	(58, 0.006126324817741837)	(60, 0.0076579060221772955)	(62, 0.00804080132328616)	(64, 0.008423696624395025)	(66, 0.008423696624395025)	(68, 0.008423696624395025)	(70, 0.008423696624395025)	(72, 0.008423696624395025)	(74, 0.009189487226612754)	(76, 0.01033817312993935)	(78, 0.011869754334374809)	(80, 0.01684739324879005)	(82, 0.019144765055443238)	(84, 0.02144213686209643)	(86, 0.026802671077620535)	(88, 0.17766341971451327)	(90, 0.17842921031673098)	(92, 0.17919500091894872)	(94, 0.1837897445322551)	(96, 0.18838448814556147)	(98, 0.19221344115665012)	(100, 0.1937450223610856)	(102, 0.1968081847699565)	(104, 0.201020033082154)	(106, 0.2044660907921338)	(108, 0.2075292532010047)	(110, 0.21097531091098448)	(112, 0.2186332169331618)	(114, 0.22399375114868592)	(116, 0.22590822765423021)	(118, 0.2798964651105802)	(120, 0.3396281320835631)	(122, 0.9541750903632911)	(124, 1.5511088647920113)	(126, 1.559915456717515)	(128, 1.5721681063529989)	(130, 1.5740825828585432)	(132, 1.5767628499663053)	(134, 1.5848036512895913)	(136, 1.5909299761073332)	(138, 1.5993536727317283)
SRR23609077_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007657906022177296)	(6, 0.0007657906022177296)	(7, 0.0007657906022177296)	(8, 0.0007657906022177296)	(9, 0.0007657906022177296)	(10, 0.0007657906022177296)	(12, 0.0011486859033265945)	(14, 0.0015315812044354592)	(16, 0.0015315812044354592)	(18, 0.0015315812044354592)	(20, 0.0015315812044354592)	(22, 0.0019144765055443239)	(24, 0.0022973718066531886)	(26, 0.0022973718066531886)	(28, 0.0022973718066531886)	(30, 0.0022973718066531886)	(32, 0.0022973718066531886)	(34, 0.0022973718066531886)	(36, 0.0022973718066531886)	(38, 0.0022973718066531886)	(40, 0.0022973718066531886)	(42, 0.0030631624088709184)	(44, 0.0030631624088709184)	(46, 0.0030631624088709184)	(48, 0.0030631624088709184)	(50, 0.0030631624088709184)	(52, 0.003446057709979783)	(54, 0.0042118483121975124)	(56, 0.004594743613306377)	(58, 0.006126324817741837)	(60, 0.0076579060221772955)	(62, 0.00804080132328616)	(64, 0.008423696624395025)	(66, 0.008423696624395025)	(68, 0.008423696624395025)	(70, 0.008423696624395025)	(72, 0.008423696624395025)	(74, 0.009189487226612754)	(76, 0.01033817312993935)	(78, 0.011869754334374809)	(80, 0.01684739324879005)	(82, 0.019144765055443238)	(84, 0.02144213686209643)	(86, 0.026802671077620535)	(88, 0.17842921031673098)	(90, 0.17919500091894872)	(92, 0.17996079152116645)	(94, 0.18455553513447284)	(96, 0.1891502787477792)	(98, 0.19297923175886786)	(100, 0.1945108129633033)	(102, 0.19757397537217422)	(104, 0.20178582368437176)	(106, 0.20523188139435153)	(108, 0.20829504380322245)	(110, 0.2121239968143111)	(112, 0.22016479813759726)	(114, 0.22552533235312136)	(116, 0.2274398088586657)	(118, 0.28104515101390676)	(120, 0.34039392268578084)	(122, 0.9610672057832506)	(124, 1.5648930956319305)	(126, 1.5736996875574343)	(128, 1.5851865465907002)	(130, 1.5871010230962446)	(132, 1.5897812902040065)	(134, 1.5978220915272927)	(136, 1.6039484163450346)	(138, 1.6123721129694295)
SRR23609078_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0003724172861207526)	(52, 0.0007448345722415051)	(54, 0.0007448345722415051)	(56, 0.0007448345722415051)	(58, 0.002606921002845268)	(60, 0.003724172861207526)	(62, 0.003724172861207526)	(64, 0.003724172861207526)	(66, 0.003724172861207526)	(68, 0.003724172861207526)	(70, 0.003724172861207526)	(72, 0.004096590147328279)	(74, 0.005213842005690536)	(76, 0.0070759284362943)	(78, 0.009682849439139567)	(80, 0.013407022300347094)	(82, 0.013407022300347094)	(84, 0.014896691444830103)	(86, 0.015269108730950855)	(88, 0.05511775834587138)	(90, 0.05511775834587138)	(92, 0.05623501020423364)	(94, 0.06554544235725246)	(96, 0.06852478064621847)	(98, 0.07075928436294299)	(100, 0.07113170164906374)	(102, 0.07262137079354675)	(104, 0.07485587451027127)	(106, 0.07820763008535804)	(108, 0.07969729922984105)	(110, 0.08044213380208255)	(112, 0.08304905480492783)	(114, 0.08602839309389385)	(116, 0.08863531409673911)	(118, 0.11098035126398428)	(120, 0.13555989214795394)	(122, 0.4398248149086088)	(124, 0.7396207302358146)	(126, 0.7403655648080562)	(128, 0.7455794068137467)	(130, 0.7455794068137467)	(132, 0.7496759969610749)	(134, 0.7593588464002146)	(136, 0.7656899402642673)	(138, 0.7757452069895276)
SRR23609078_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0003724172861207526)	(52, 0.0007448345722415051)	(54, 0.0007448345722415051)	(56, 0.0007448345722415051)	(58, 0.002606921002845268)	(60, 0.003724172861207526)	(62, 0.003724172861207526)	(64, 0.003724172861207526)	(66, 0.003724172861207526)	(68, 0.003724172861207526)	(70, 0.003724172861207526)	(72, 0.004096590147328279)	(74, 0.005213842005690536)	(76, 0.0070759284362943)	(78, 0.009682849439139567)	(80, 0.013407022300347094)	(82, 0.013407022300347094)	(84, 0.014896691444830103)	(86, 0.015269108730950855)	(88, 0.05586259291811289)	(90, 0.05586259291811289)	(92, 0.05697984477647515)	(94, 0.06591785964337321)	(96, 0.06852478064621847)	(98, 0.07075928436294299)	(100, 0.07113170164906374)	(102, 0.07262137079354675)	(104, 0.07485587451027127)	(106, 0.07820763008535804)	(108, 0.07969729922984105)	(110, 0.08118696837432407)	(112, 0.08379388937716933)	(114, 0.08677322766613535)	(116, 0.08938014866898061)	(118, 0.11284243769458804)	(120, 0.13853923043691996)	(122, 0.4469007433449031)	(124, 0.7493035796749542)	(126, 0.7500484142471957)	(128, 0.7552622562528862)	(130, 0.7552622562528862)	(132, 0.7593588464002146)	(134, 0.769041695839354)	(136, 0.775000372417286)	(138, 0.7846832218564257)
SRR23609079_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006568317065801401)	(36, 0.0026273268263205603)	(38, 0.0026273268263205603)	(40, 0.0026273268263205603)	(42, 0.0026273268263205603)	(44, 0.0026273268263205603)	(46, 0.00394099023948084)	(48, 0.00394099023948084)	(50, 0.00394099023948084)	(52, 0.00394099023948084)	(54, 0.00459782194606098)	(56, 0.005254653652641121)	(58, 0.007225148772381541)	(60, 0.012479802425022661)	(62, 0.013136634131602801)	(64, 0.014450297544763081)	(66, 0.014450297544763081)	(68, 0.014450297544763081)	(70, 0.014450297544763081)	(72, 0.014450297544763081)	(74, 0.01576396095792336)	(76, 0.018391287784243922)	(78, 0.019704951197404202)	(80, 0.022332278023724762)	(82, 0.029557426796106304)	(84, 0.03152792191584672)	(86, 0.03809623898164813)	(88, 0.21741129487802635)	(90, 0.2180681265846065)	(92, 0.22200911682408733)	(94, 0.2312047607162093)	(96, 0.24171406802149153)	(98, 0.2509097119136135)	(100, 0.2509097119136135)	(102, 0.2620758509254759)	(104, 0.2693009996978574)	(106, 0.27258515823075813)	(108, 0.27586931676365883)	(110, 0.2771829801768191)	(112, 0.28769228748210135)	(114, 0.295574267961063)	(116, 0.2995152582005438)	(118, 0.3507481313137948)	(120, 0.4000105093073053)	(122, 1.0108639964268356)	(124, 1.6164628298937247)	(126, 1.6223743152529457)	(128, 1.636167781091129)	(130, 1.6394519396240295)	(132, 1.645363424983251)	(134, 1.651274910342472)	(136, 1.6604705542345939)	(138, 1.6683525347135557)
SRR23609079_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006568317065801401)	(36, 0.0026273268263205603)	(38, 0.0026273268263205603)	(40, 0.0026273268263205603)	(42, 0.0026273268263205603)	(44, 0.0026273268263205603)	(46, 0.00394099023948084)	(48, 0.00394099023948084)	(50, 0.00394099023948084)	(52, 0.00394099023948084)	(54, 0.00459782194606098)	(56, 0.005254653652641121)	(58, 0.007225148772381541)	(60, 0.012479802425022661)	(62, 0.013136634131602801)	(64, 0.014450297544763081)	(66, 0.014450297544763081)	(68, 0.014450297544763081)	(70, 0.014450297544763081)	(72, 0.014450297544763081)	(74, 0.01576396095792336)	(76, 0.018391287784243922)	(78, 0.019704951197404202)	(80, 0.022332278023724762)	(82, 0.029557426796106304)	(84, 0.03152792191584672)	(86, 0.03809623898164813)	(88, 0.21609763146486605)	(90, 0.2167544631714462)	(92, 0.22069545341092706)	(94, 0.22989109730304902)	(96, 0.24105723631491138)	(98, 0.2509097119136135)	(100, 0.2509097119136135)	(102, 0.2620758509254759)	(104, 0.2693009996978574)	(106, 0.27258515823075813)	(108, 0.27586931676365883)	(110, 0.2771829801768191)	(112, 0.28769228748210135)	(114, 0.295574267961063)	(116, 0.2995152582005438)	(118, 0.34877763619405433)	(120, 0.3973831824809847)	(122, 1.0174323134926369)	(124, 1.6309131274384878)	(126, 1.6368246127977089)	(128, 1.6493044152227316)	(130, 1.6525885737556323)	(132, 1.6591568908214338)	(134, 1.6663820395938154)	(136, 1.6768913468990976)	(138, 1.6854301590846392)
SRR23609080_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0006823144104803493)	(44, 0.0006823144104803493)	(46, 0.0006823144104803493)	(48, 0.001023471615720524)	(50, 0.0013646288209606986)	(52, 0.0017057860262008734)	(54, 0.002046943231441048)	(56, 0.002046943231441048)	(58, 0.0023881004366812226)	(60, 0.0030704148471615723)	(62, 0.003411572052401747)	(64, 0.003411572052401747)	(66, 0.004093886462882096)	(68, 0.004435043668122271)	(70, 0.00511735807860262)	(72, 0.005799672489082969)	(74, 0.006140829694323144)	(76, 0.006481986899563318)	(78, 0.006823144104803494)	(80, 0.010575873362445413)	(82, 0.012963973799126638)	(84, 0.012963973799126638)	(86, 0.012963973799126638)	(88, 0.05185589519650655)	(90, 0.0525382096069869)	(92, 0.05322052401746725)	(94, 0.05663209606986899)	(96, 0.05833788209606987)	(98, 0.060043668122270744)	(100, 0.060043668122270744)	(102, 0.06209061135371179)	(104, 0.06516102620087336)	(106, 0.06618449781659388)	(108, 0.06686681222707423)	(110, 0.06720796943231441)	(112, 0.06857259825327511)	(114, 0.06925491266375547)	(116, 0.0699372270742358)	(118, 0.08972434497816593)	(120, 0.10814683406113537)	(122, 0.2787254366812227)	(124, 0.4458924672489083)	(126, 0.4469159388646288)	(128, 0.4499863537117904)	(130, 0.45100982532751094)	(132, 0.45203329694323147)	(134, 0.45442139737991266)	(136, 0.455103711790393)	(138, 0.45715065502183405)
SRR23609080_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0006823144104803493)	(44, 0.0006823144104803493)	(46, 0.0006823144104803493)	(48, 0.001023471615720524)	(50, 0.0013646288209606986)	(52, 0.0017057860262008734)	(54, 0.002046943231441048)	(56, 0.002046943231441048)	(58, 0.0023881004366812226)	(60, 0.0030704148471615723)	(62, 0.003411572052401747)	(64, 0.003411572052401747)	(66, 0.004093886462882096)	(68, 0.004435043668122271)	(70, 0.00511735807860262)	(72, 0.005799672489082969)	(74, 0.006140829694323144)	(76, 0.006481986899563318)	(78, 0.006823144104803494)	(80, 0.009893558951965066)	(82, 0.012963973799126638)	(84, 0.012963973799126638)	(86, 0.012963973799126638)	(88, 0.05185589519650655)	(90, 0.0525382096069869)	(92, 0.05322052401746725)	(94, 0.05663209606986899)	(96, 0.05867903930131004)	(98, 0.06072598253275109)	(100, 0.06072598253275109)	(102, 0.06277292576419213)	(104, 0.06584334061135372)	(106, 0.06686681222707423)	(108, 0.06754912663755458)	(110, 0.06789028384279476)	(112, 0.06925491266375547)	(114, 0.0699372270742358)	(116, 0.07061954148471616)	(118, 0.09074781659388646)	(120, 0.10951146288209607)	(122, 0.28350163755458513)	(124, 0.45339792576419213)	(126, 0.45442139737991266)	(128, 0.45749181222707425)	(130, 0.4585152838427948)	(132, 0.4595387554585153)	(134, 0.4619268558951965)	(136, 0.46260917030567683)	(138, 0.46397379912663755)
SRR23609081_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0004985492217646648)	(16, 0.0009970984435293297)	(18, 0.002991295330587989)	(20, 0.002991295330587989)	(22, 0.004985492217646648)	(24, 0.006481139882940643)	(26, 0.010968082878822626)	(28, 0.05334476672881913)	(30, 0.12264310855410755)	(32, 0.2926483931758582)	(34, 0.5952677707870098)	(36, 1.2543498419598966)	(38, 2.4832736736097956)	(40, 3.745600303117927)	(42, 4.785573979719018)	(44, 6.203447966417724)	(46, 7.893529828199938)	(48, 9.534753866249215)	(50, 11.188441634842608)	(52, 12.97972898864305)	(54, 14.676790539529968)	(56, 16.313527634583362)	(58, 18.02604421134499)	(60, 19.77495488129543)	(62, 21.69636358197645)	(64, 23.88499466552333)	(66, 25.64886181212671)	(68, 27.396775383633624)	(70, 28.801188541344686)	(72, 30.214575585047513)	(74, 31.85729527076208)	(76, 33.38534863547078)	(78, 35.31872251747415)	(80, 37.11300116660517)	(82, 38.70437028247799)	(84, 39.777248207715544)	(86, 40.914438982560746)	(88, 42.34128685525122)	(90, 44.06128167033931)	(92, 46.000638143003854)	(94, 47.21011855500494)	(96, 48.596085391510705)	(98, 49.99202321245177)	(100, 51.228923831649894)	(102, 52.87862320646917)	(104, 54.19479315192789)	(106, 55.359404133970145)	(108, 56.5085600901377)	(110, 57.678156564397604)	(112, 58.63686671785105)	(114, 59.70077075709685)	(116, 60.74722557358088)	(118, 61.76576163364609)	(120, 62.938847952458346)	(122, 64.04114028178002)	(124, 65.25161779222464)	(126, 66.27264659839867)	(128, 67.16754245146623)	(130, 68.01058918547028)	(132, 68.85463301791785)	(134, 70.2141767456701)	(136, 71.23869539639648)	(138, 72.07326679363054)
SRR23609081_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0004985492217646648)	(16, 0.0009970984435293297)	(18, 0.002991295330587989)	(20, 0.002991295330587989)	(22, 0.004985492217646648)	(24, 0.006481139882940643)	(26, 0.010968082878822626)	(28, 0.052347668285289806)	(30, 0.12015036244528422)	(32, 0.2861672532929176)	(34, 0.5838011386864225)	(36, 1.2339093238675454)	(38, 2.4513665234168567)	(40, 3.6997337747155776)	(42, 4.73023501610314)	(44, 6.138138018366553)	(46, 7.810770657387003)	(48, 9.44451645710981)	(50, 11.089728888933205)	(52, 12.875033652072469)	(54, 14.565614063076447)	(56, 16.206838101125722)	(58, 17.916861931778524)	(60, 19.66278130639838)	(62, 21.57122772731352)	(64, 23.739418292768043)	(66, 25.49929704559731)	(68, 27.246712067882463)	(70, 28.65262087325882)	(72, 30.07747454906223)	(74, 31.73215941609915)	(76, 33.2622069776949)	(78, 35.2150242793471)	(80, 37.004815985482246)	(82, 38.60715318423388)	(84, 39.685515150910845)	(86, 40.81871753198193)	(88, 42.25653348755122)	(90, 43.98849348396167)	(92, 45.93084125195681)	(94, 47.144310057732)	(96, 48.535262386455415)	(98, 49.930203108952945)	(100, 51.169097925038145)	(102, 52.81929584907918)	(104, 54.13845708986848)	(106, 55.315033253233096)	(108, 56.47316309539241)	(110, 57.65123490642232)	(112, 58.616426199758706)	(114, 59.68481718200038)	(116, 60.735260392258525)	(118, 61.755292099989035)	(120, 62.929375517244814)	(122, 64.02817800201413)	(124, 65.24513665234169)	(126, 66.27015385228984)	(128, 67.17003519757506)	(130, 68.02255436679263)	(132, 68.87208224067962)	(134, 70.23461726376246)	(136, 71.26761125125884)	(138, 72.10218264849289)
