Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR23609077_1	25.444158549286282	57.22293696011759
SRR23609077_2	23.63689272805244	58.402254487532915
SRR23609078_1	45.550358265429246	49.07268095755931
SRR23609078_2	47.46905212352336	46.522367382204415
SRR23609079_1	28.821775284736546	54.32129579759072
SRR23609079_2	25.398368430040858	56.5873651852922
SRR23609080_1	47.04489628820961	47.79066593886463
SRR23609080_2	43.5869268558952	50.526064410480345
SRR23609081_1	3.0471328434256315	59.201722986110404
SRR23609081_2	2.8875970924609384	58.94646578456689
SRR23609082_1	3.7997679007751333	68.27095870690377
SRR23609082_2	3.605862219240732	68.02465931849005
SRR23609083_1	3.5909451271306416	75.03893198935384
SRR23609083_2	3.384251656379184	74.52502972988275
SRR23609084_1	2.674650481099282	60.576011507153844
SRR23609084_2	2.5460667545685363	60.28833266135624
SRR23609085_1	4.643444633632507	66.57239329312283
SRR23609085_2	4.512135291910767	66.74338402932099
SRR23609086_1	3.7802034436762417	75.74407640847579
SRR23609086_2	3.4910242442138704	75.62647007911704
