Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_1	(1, 0.0)	(2, 0.0007657906022177296)	(3, 0.028334252282055997)	(4, 0.0)	(5, 0.0015315812044354592)	(6, 0.08730012865282118)	(7, 0.0)	(8, 0.01608160264657232)	(9, 0.0)	(10, 0.004594743613306377)	(15, 0.004747901733749923)	(20, 0.00045947436133063775)	(25, 0.00827053850395148)	(30, 0.003828953011088648)	(35, 0.010414752190161122)	(40, 0.009648961587943393)	(45, 0.005513692335967653)	(50, 0.006126324817741837)	(55, 0.012865282117257857)	(60, 0.019297923175886786)	(65, 0.008576854744838571)	(70, 0.011180542792378852)	(75, 0.013018440237701401)	(80, 0.011180542792378852)	(85, 0.015622128285241683)	(90, 0.011793175274153035)	(95, 0.003522636770201556)	(100, 0.012252649635483674)	(105, 0.00413526925197574)	(110, 0.003522636770201556)	(115, 0.020370030018991608)	(120, 0.003522636770201556)	(125, 0.02144213686209643)	(130, 0.007045273540403112)	(135, 0.004747901733749923)	(140, 0.0029100042884273726)	(145, 0.0042884273724192856)	(150, 0.007657906022177296)
SRR23609077_2	(1, 0.0)	(2, 0.009189487226612754)	(3, 0.007657906022177296)	(4, 0.005360534215524107)	(5, 0.0)	(6, 0.0022973718066531886)	(7, 0.009955277828830484)	(8, 0.010721068431048215)	(9, 0.007657906022177296)	(10, 0.013018440237701401)	(15, 0.006432641058628928)	(20, 0.005207376095080561)	(25, 0.012099491515040127)	(30, 0.007045273540403112)	(35, 0.013784230839919132)	(40, 0.012558965876370766)	(45, 0.007811064142620842)	(50, 0.013324756478588494)	(55, 0.0059731666972982905)	(60, 0.011027384671935305)	(65, 0.011793175274153035)	(70, 0.006738957299516021)	(75, 0.011180542792378852)	(80, 0.001837897445322551)	(85, 0.009495803467499847)	(90, 0.016694235128346505)	(95, 0.005820008576854745)	(100, 0.012865282117257857)	(105, 0.008730012865282117)	(110, 0.008117380383507934)	(115, 0.006892115419959566)	(120, 0.008117380383507934)	(125, 0.024811615511854436)	(130, 0.01654107700790296)	(135, 0.01837897445322551)	(140, 0.013631072719475586)	(145, 0.017000551369233598)	(150, 0.0030631624088709184)
SRR23609078_1	(1, 0.0)	(2, 0.0014896691444830105)	(3, 0.023834706311728168)	(4, 0.0)	(5, 0.0014896691444830105)	(6, 0.07746279551311654)	(7, 0.0)	(8, 0.012662187728105586)	(9, 0.0)	(10, 0.004171073604552429)	(15, 0.003277272117862623)	(20, 0.00014896691444830104)	(25, 0.007895246465759955)	(30, 0.003426239032310924)	(35, 0.010427684011381073)	(40, 0.009086981781346362)	(45, 0.005213842005690536)	(50, 0.00580970966348374)	(55, 0.009384915610242964)	(60, 0.016237393674864813)	(65, 0.007001444979070148)	(70, 0.008044213380208255)	(75, 0.012811154642553889)	(80, 0.009086981781346362)	(85, 0.013258055385898792)	(90, 0.011321485498070879)	(95, 0.0023834706311728166)	(100, 0.012513220813657286)	(105, 0.002979338288966021)	(110, 0.0022345037167245158)	(115, 0.018322930477141026)	(120, 0.002979338288966021)	(125, 0.020110533450520638)	(130, 0.006703511150173547)	(135, 0.003724172861207526)	(140, 0.0007448345722415053)	(145, 0.00432004051900073)	(150, 0.007448345722415052)
SRR23609078_2	(1, 0.0)	(2, 0.005213842005690536)	(3, 0.005958676577932042)	(4, 0.005958676577932042)	(5, 0.0)	(6, 0.002979338288966021)	(7, 0.006703511150173547)	(8, 0.007448345722415052)	(9, 0.014896691444830103)	(10, 0.010278717096932772)	(15, 0.004022106690104128)	(20, 0.00432004051900073)	(25, 0.013555989214795394)	(30, 0.005958676577932042)	(35, 0.012215286984760685)	(40, 0.01161941932696748)	(45, 0.00729937880796675)	(50, 0.011321485498070879)	(55, 0.005064875091242235)	(60, 0.008938014866898063)	(65, 0.01012975018248447)	(70, 0.004171073604552429)	(75, 0.0077462795513116535)	(80, 0.0011917353155864083)	(85, 0.007895246465759955)	(90, 0.013555989214795394)	(95, 0.0038731397756558267)	(100, 0.008491114123553158)	(105, 0.006554544235725246)	(110, 0.005511775834587138)	(115, 0.00432004051900073)	(120, 0.007150411893518449)	(125, 0.01742912899045122)	(130, 0.012215286984760685)	(135, 0.013109088471450491)	(140, 0.009235948695794664)	(145, 0.018024996648244425)	(150, 0.0022345037167245158)
SRR23609079_1	(1, 0.0)	(2, 0.0)	(3, 0.026273268263205602)	(4, 0.0)	(5, 0.0026273268263205603)	(6, 0.0722514877238154)	(7, 0.0)	(8, 0.01839128778424392)	(9, 0.0)	(10, 0.006305584383169345)	(15, 0.0031527921915846724)	(20, 0.0013136634131602801)	(25, 0.008932911209489905)	(30, 0.0031527921915846724)	(35, 0.009983841940018128)	(40, 0.009458376574754016)	(45, 0.005780119017905232)	(50, 0.009458376574754016)	(55, 0.011822970718442521)	(60, 0.016026693640555416)	(65, 0.0065683170658014005)	(70, 0.00919564389212196)	(75, 0.014450297544763081)	(80, 0.012085703401074578)	(85, 0.01655215900581953)	(90, 0.009983841940018128)	(95, 0.0031527921915846724)	(100, 0.011560238035810464)	(105, 0.00394099023948084)	(110, 0.0036782575568487844)	(115, 0.021018614610564482)	(120, 0.002364594143688504)	(125, 0.019967683880036256)	(130, 0.0068310497484334555)	(135, 0.0031527921915846724)	(140, 0.0015763960957923362)	(145, 0.004203722922112896)	(150, 0.00394099023948084)
SRR23609079_2	(1, 0.0)	(2, 0.00788198047896168)	(3, 0.00788198047896168)	(4, 0.005254653652641121)	(5, 0.0)	(6, 0.005254653652641121)	(7, 0.010509307305282241)	(8, 0.011822970718442521)	(9, 0.011822970718442521)	(10, 0.014187564862131024)	(15, 0.005254653652641121)	(20, 0.004466455604744952)	(25, 0.01839128778424392)	(30, 0.007356515113697569)	(35, 0.01129750535317841)	(40, 0.015501228275291304)	(45, 0.008670178526857848)	(50, 0.012873901448970744)	(55, 0.008144713161593736)	(60, 0.010772039987914296)	(65, 0.012348436083706633)	(70, 0.007619247796329624)	(75, 0.01129750535317841)	(80, 0.002890059508952616)	(85, 0.011560238035810464)	(90, 0.018128555101611866)	(95, 0.004991920970009064)	(100, 0.013136634131602801)	(105, 0.00788198047896168)	(110, 0.007356515113697569)	(115, 0.005780119017905232)	(120, 0.00788198047896168)	(125, 0.02443413948478121)	(130, 0.014450297544763081)	(135, 0.01786582241897981)	(140, 0.010509307305282241)	(145, 0.01839128778424392)	(150, 0.00394099023948084)
SRR23609080_1	(1, 0.0)	(2, 0.0013646288209606986)	(3, 0.017057860262008732)	(4, 0.0)	(5, 0.0027292576419213972)	(6, 0.08051310043668122)	(7, 0.0)	(8, 0.012963973799126637)	(9, 0.0)	(10, 0.006413755458515284)	(15, 0.0049126637554585155)	(20, 0.0002729257641921397)	(25, 0.006959606986899563)	(30, 0.004366812227074236)	(35, 0.01105349344978166)	(40, 0.012008733624454149)	(45, 0.005185589519650655)	(50, 0.0077783842794759825)	(55, 0.012554585152838428)	(60, 0.02033296943231441)	(65, 0.0077783842794759825)	(70, 0.009143013100436682)	(75, 0.016784934497816595)	(80, 0.011735807860262008)	(85, 0.017603711790393013)	(90, 0.012827510917030568)	(95, 0.003548034934497816)	(100, 0.014192139737991265)	(105, 0.003138646288209607)	(110, 0.0038209606986899566)	(115, 0.024290393013100438)	(120, 0.004503275109170306)	(125, 0.02115174672489083)	(130, 0.008870087336244541)	(135, 0.0034115720524017464)	(140, 0.002046943231441048)	(145, 0.006277292576419214)	(150, 0.0034115720524017464)
SRR23609080_2	(1, 0.0)	(2, 0.011599344978165938)	(3, 0.00955240174672489)	(4, 0.0027292576419213972)	(5, 0.0)	(6, 0.004093886462882096)	(7, 0.007505458515283843)	(8, 0.017057860262008732)	(9, 0.008187772925764192)	(10, 0.01023471615720524)	(15, 0.004639737991266376)	(20, 0.0061408296943231445)	(25, 0.012281659388646289)	(30, 0.009279475982532752)	(35, 0.014055676855895195)	(40, 0.012827510917030568)	(45, 0.006277292576419214)	(50, 0.012827510917030568)	(55, 0.008051310043668122)	(60, 0.01105349344978166)	(65, 0.013100436681222707)	(70, 0.006550218340611353)	(75, 0.011599344978165938)	(80, 0.0025927947598253275)	(85, 0.01050764192139738)	(90, 0.015147379912663756)	(95, 0.004776200873362445)	(100, 0.008597161572052401)	(105, 0.006277292576419214)	(110, 0.007368995633187774)	(115, 0.004776200873362445)	(120, 0.009143013100436682)	(125, 0.02210698689956332)	(130, 0.015147379912663756)	(135, 0.015693231441048037)	(140, 0.0113264192139738)	(145, 0.015693231441048037)	(150, 0.004093886462882096)
SRR23609081_1	(1, 0.0)	(2, 0.0009970984435293297)	(3, 0.021936165757645253)	(4, 0.0)	(5, 0.0009970984435293297)	(6, 0.07877077703881705)	(7, 0.0)	(8, 0.012962279765881286)	(9, 0.0)	(10, 0.004985492217646648)	(15, 0.004985492217646648)	(20, 0.00019941968870586593)	(25, 0.008575046614352235)	(30, 0.0043872331515290505)	(35, 0.010569243501410894)	(40, 0.009970984435293297)	(45, 0.00638143003858771)	(50, 0.007777367859528771)	(55, 0.012563440388469552)	(60, 0.015953575096469275)	(65, 0.008774466303058101)	(70, 0.00837562692564637)	(75, 0.014358217586822347)	(80, 0.008575046614352235)	(85, 0.014358217586822347)	(90, 0.01375995852070475)	(95, 0.002592455953176257)	(100, 0.014358217586822347)	(105, 0.0037889740854114527)	(110, 0.003589554396705587)	(115, 0.020939067314115923)	(120, 0.003190715019293855)	(125, 0.021936165757645253)	(130, 0.00837562692564637)	(135, 0.003390134707999721)	(140, 0.002393036264470391)	(145, 0.0037889740854114527)	(150, 0.004985492217646648)
SRR23609081_2	(1, 0.0)	(2, 0.014956476652939945)	(3, 0.011965181322351956)	(4, 0.003988393774117319)	(5, 0.0)	(6, 0.0019941968870586593)	(7, 0.007976787548234637)	(8, 0.007976787548234637)	(9, 0.012962279765881286)	(10, 0.011167502567528492)	(15, 0.005184911906352514)	(20, 0.005982590661175978)	(25, 0.01076866319011676)	(30, 0.006580849727293575)	(35, 0.014358217586822347)	(40, 0.012164601011057822)	(45, 0.006979689104705307)	(50, 0.01276286007717542)	(55, 0.006780269415999442)	(60, 0.009173305680469833)	(65, 0.010170404123999163)	(70, 0.006580849727293575)	(75, 0.010369823812705029)	(80, 0.0021936165757645253)	(85, 0.007777367859528771)	(90, 0.012962279765881286)	(95, 0.0043872331515290505)	(100, 0.009173305680469833)	(105, 0.00638143003858771)	(110, 0.008176207236940503)	(115, 0.004985492217646648)	(120, 0.009173305680469833)	(125, 0.02113848700282179)	(130, 0.013560538831998883)	(135, 0.01615299478517514)	(140, 0.010369823812705029)	(145, 0.017947771983527934)	(150, 0.0019941968870586593)
