Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_1	(1, 29.988214482631868)	(2, 29.988214482631868)	(3, 29.988214482631868)	(4, 29.988214482631868)	(5, 29.988214482631868)	(6, 29.988214482631868)	(7, 29.988214482631868)	(8, 29.988214482631868)	(9, 29.988214482631868)	(10, 29.988214482631868)	(15, 29.988214482631868)	(20, 29.988214482631868)	(25, 29.988214482631868)	(30, 29.988214482631868)	(35, 29.988214482631868)	(40, 29.988214482631868)	(45, 29.988214482631868)	(50, 29.988214482631868)	(55, 29.988214482631868)	(60, 29.988214482631868)	(65, 29.988214482631868)	(70, 29.988214482631868)	(75, 29.988214482631868)	(80, 29.988214482631868)	(85, 29.988214482631868)	(90, 29.988214482631868)	(95, 29.988214482631868)	(100, 29.988214482631868)	(105, 29.988214482631868)	(110, 29.988214482631868)	(115, 29.988214482631868)	(120, 29.988214482631868)	(125, 29.988214482631868)	(130, 29.988214482631868)	(135, 29.988214482631868)	(140, 29.988214482631868)	(145, 29.988214482631868)	(150, 29.988214482631868)
SRR23609077_2	(1, 29.92659897077743)	(2, 29.92659897077743)	(3, 29.92659897077743)	(4, 29.92659897077743)	(5, 29.92659897077743)	(6, 29.92659897077743)	(7, 29.92659897077743)	(8, 29.92659897077743)	(9, 29.92659897077743)	(10, 29.926598970777427)	(15, 29.926598970777427)	(20, 29.926598970777427)	(25, 29.926598970777427)	(30, 29.926598970777427)	(35, 29.926598970777427)	(40, 29.926598970777427)	(45, 29.926598970777427)	(50, 29.926598970777427)	(55, 29.926598970777427)	(60, 29.926598970777427)	(65, 29.926598970777427)	(70, 29.926598970777427)	(75, 29.926598970777427)	(80, 29.926598970777427)	(85, 29.926598970777427)	(90, 29.926598970777427)	(95, 29.926598970777427)	(100, 29.926598970777427)	(105, 29.926598970777427)	(110, 29.926598970777427)	(115, 29.926598970777427)	(120, 29.926598970777427)	(125, 29.926598970777427)	(130, 29.926598970777427)	(135, 29.926598970777427)	(140, 29.926598970777427)	(145, 29.926598970777427)	(150, 29.92659897077743)
SRR23609078_1	(1, 34.4395566744626)	(2, 35.538507947384886)	(3, 36.13620044988008)	(4, 36.39681806670738)	(5, 36.31230168779514)	(6, 36.236879739009964)	(7, 36.36061910649645)	(8, 36.423900251754084)	(9, 36.34164816994146)	(10, 36.42612730712509)	(15, 36.344934380074186)	(20, 36.447235918902415)	(25, 36.5785204606057)	(30, 36.4152005839503)	(35, 36.36956159037078)	(40, 36.330497996395)	(45, 36.47147432555229)	(50, 36.51823503999761)	(55, 36.080139730965755)	(60, 36.50556391425464)	(65, 36.37618763872545)	(70, 36.212750078207634)	(75, 35.542279789658714)	(80, 35.598925948546835)	(85, 36.3591070923148)	(90, 36.26368335592665)	(95, 36.3384915610243)	(100, 35.942822029227315)	(105, 35.82932264744)	(110, 35.827481416377424)	(115, 36.00498443295744)	(120, 35.85114481073754)	(125, 36.02334013615576)	(130, 34.73494018978384)	(135, 35.717536385168856)	(140, 34.922251188011145)	(145, 33.248798581834976)	(150, 20.462981721759597)
SRR23609078_2	(1, 32.20366756543372)	(2, 35.890874286820896)	(3, 36.007910143157204)	(4, 35.97856366101089)	(5, 35.834393481207826)	(6, 36.19662143038031)	(7, 36.35069046164847)	(8, 36.325135187474864)	(9, 36.277093357565285)	(10, 36.27874689031565)	(15, 36.24515187176928)	(20, 36.30393719554887)	(25, 36.29490831086416)	(30, 36.273796719748546)	(35, 36.29309538351532)	(40, 36.1658687005616)	(45, 36.34710035901026)	(50, 36.30971860149861)	(55, 36.0877430022792)	(60, 36.34888200330706)	(65, 36.189529115583426)	(70, 36.10114108656467)	(75, 35.8983926469931)	(80, 36.13936152780467)	(85, 36.194203697358816)	(90, 36.130891269049144)	(95, 36.267017235472004)	(100, 36.04575071876537)	(105, 35.91098333060227)	(110, 35.86778888408885)	(115, 35.91884878368514)	(120, 35.773726705298756)	(125, 35.76246480656646)	(130, 35.50601528400542)	(135, 35.676013347435536)	(140, 35.210502167468604)	(145, 34.3548809009519)	(150, 23.70074781391053)
SRR23609079_1	(1, 29.988649948110297)	(2, 29.988649948110297)	(3, 29.988649948110297)	(4, 29.988649948110297)	(5, 29.988649948110297)	(6, 29.988649948110297)	(7, 29.988649948110297)	(8, 29.988649948110297)	(9, 29.988649948110297)	(10, 29.9886499481103)	(15, 29.9886499481103)	(20, 29.9886499481103)	(25, 29.9886499481103)	(30, 29.9886499481103)	(35, 29.9886499481103)	(40, 29.9886499481103)	(45, 29.9886499481103)	(50, 29.9886499481103)	(55, 29.9886499481103)	(60, 29.9886499481103)	(65, 29.9886499481103)	(70, 29.9886499481103)	(75, 29.9886499481103)	(80, 29.9886499481103)	(85, 29.9886499481103)	(90, 29.9886499481103)	(95, 29.9886499481103)	(100, 29.9886499481103)	(105, 29.9886499481103)	(110, 29.9886499481103)	(115, 29.9886499481103)	(120, 29.9886499481103)	(125, 29.9886499481103)	(130, 29.9886499481103)	(135, 29.9886499481103)	(140, 29.9886499481103)	(145, 29.9886499481103)	(150, 29.988649948110297)
SRR23609079_2	(1, 29.926579351838473)	(2, 29.926579351838473)	(3, 29.926579351838473)	(4, 29.926579351838473)	(5, 29.926579351838473)	(6, 29.926579351838473)	(7, 29.926579351838473)	(8, 29.926579351838473)	(9, 29.926579351838473)	(10, 29.926579351838473)	(15, 29.926579351838473)	(20, 29.926579351838473)	(25, 29.926579351838473)	(30, 29.926579351838473)	(35, 29.926579351838473)	(40, 29.926579351838473)	(45, 29.926579351838473)	(50, 29.926579351838473)	(55, 29.926579351838473)	(60, 29.926579351838473)	(65, 29.926579351838473)	(70, 29.926579351838473)	(75, 29.926579351838473)	(80, 29.926579351838473)	(85, 29.926579351838473)	(90, 29.926579351838473)	(95, 29.926579351838473)	(100, 29.926579351838473)	(105, 29.926579351838473)	(110, 29.926579351838473)	(115, 29.926579351838473)	(120, 29.926579351838473)	(125, 29.926579351838473)	(130, 29.926579351838473)	(135, 29.926579351838473)	(140, 29.926579351838473)	(145, 29.926579351838473)	(150, 29.926579351838473)
SRR23609080_1	(1, 34.499256277292574)	(2, 35.68912390829694)	(3, 36.13843477074236)	(4, 36.40027292576419)	(5, 36.327736080786025)	(6, 36.263871451965066)	(7, 36.38856441048035)	(8, 36.43585562227074)	(9, 36.37147925764192)	(10, 36.43494405021835)	(15, 36.3391798580786)	(20, 36.449099344978166)	(25, 36.57103711790393)	(30, 36.41543531659388)	(35, 36.37967385371179)	(40, 36.3322721069869)	(45, 36.4749413209607)	(50, 36.526529748908295)	(55, 36.10064683406113)	(60, 36.51728711790393)	(65, 36.37176719432315)	(70, 36.225530840611356)	(75, 35.54219705240175)	(80, 35.67362172489082)	(85, 36.363640829694326)	(90, 36.281413755458516)	(95, 36.35841839519651)	(100, 36.13302265283843)	(105, 36.286506550218334)	(110, 35.78709743449782)	(115, 35.656468340611355)	(120, 35.884503275109175)	(125, 36.08815775109171)	(130, 34.86992358078602)	(135, 35.96047352620087)	(140, 34.26639874454148)	(145, 33.9222202510917)	(150, 24.736271834061135)
SRR23609080_2	(1, 32.29258324235808)	(2, 35.91289574235808)	(3, 36.06214519650655)	(4, 36.01374863537118)	(5, 35.89527838427948)	(6, 36.214396834061134)	(7, 36.37952374454149)	(8, 36.34596752183406)	(9, 36.28797762008734)	(10, 36.308455240174666)	(15, 36.256164028384276)	(20, 36.31432587336245)	(25, 36.30482942139738)	(30, 36.287933951965066)	(35, 36.306004366812225)	(40, 36.19335425764193)	(45, 36.37455103711791)	(50, 36.33561544759826)	(55, 36.12183679039301)	(60, 36.341682587336244)	(65, 36.21123635371178)	(70, 36.12731986899563)	(75, 35.92223799126637)	(80, 36.161304585152834)	(85, 36.21083788209607)	(90, 36.14415529475982)	(95, 36.28106304585153)	(100, 36.06575600436681)	(105, 36.07752729257642)	(110, 35.663322871179034)	(115, 35.89413755458516)	(120, 35.86873089519651)	(125, 35.934283569868995)	(130, 35.48223799126637)	(135, 35.928471615720525)	(140, 35.00108760917031)	(145, 34.70420715065502)	(150, 25.385657751091703)
SRR23609081_1	(1, 29.94184921877337)	(2, 29.94184921877337)	(3, 29.94184921877337)	(4, 29.94184921877337)	(5, 29.94184921877337)	(6, 29.94184921877337)	(7, 29.94184921877337)	(8, 29.94184921877337)	(9, 29.94184921877337)	(10, 29.94184921877337)	(15, 29.94184921877337)	(20, 29.94184921877337)	(25, 29.94184921877337)	(30, 29.94184921877337)	(35, 29.94184921877337)	(40, 29.94184921877337)	(45, 29.94184921877337)	(50, 29.94184921877337)	(55, 29.94184921877337)	(60, 29.94184921877337)	(65, 29.94184921877337)	(70, 29.94184921877337)	(75, 29.94184921877337)	(80, 29.94184921877337)	(85, 29.94184921877337)	(90, 29.94184921877337)	(95, 29.94184921877337)	(100, 29.94184921877337)	(105, 29.94184921877337)	(110, 29.94184921877337)	(115, 29.94184921877337)	(120, 29.94184921877337)	(125, 29.94184921877337)	(130, 29.94184921877337)	(135, 29.94184921877337)	(140, 29.94184921877337)	(145, 29.94184921877337)	(150, 29.94184921877337)
SRR23609081_2	(1, 29.925965440567946)	(2, 29.925965440567946)	(3, 29.925965440567946)	(4, 29.925965440567946)	(5, 29.925965440567946)	(6, 29.925965440567946)	(7, 29.925965440567946)	(8, 29.925965440567946)	(9, 29.925965440567946)	(10, 29.925965440567943)	(15, 29.925965440567943)	(20, 29.925965440567943)	(25, 29.925965440567943)	(30, 29.925965440567943)	(35, 29.925965440567943)	(40, 29.925965440567943)	(45, 29.925965440567943)	(50, 29.925965440567943)	(55, 29.925965440567943)	(60, 29.925965440567943)	(65, 29.925965440567943)	(70, 29.925965440567943)	(75, 29.925965440567943)	(80, 29.925965440567943)	(85, 29.925965440567943)	(90, 29.925965440567943)	(95, 29.925965440567943)	(100, 29.925965440567943)	(105, 29.925965440567943)	(110, 29.925965440567943)	(115, 29.925965440567943)	(120, 29.925965440567943)	(125, 29.925965440567943)	(130, 29.925965440567943)	(135, 29.925965440567943)	(140, 29.925965440567943)	(145, 29.925965440567943)	(150, 29.925965440567946)
