Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR23609077_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 1.5)	(20.0, 2.5)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 3.0)	(24.0, 4.0)	(25.0, 2.5)	(26.0, 6.0)	(27.0, 9.0)	(28.0, 9.5)	(29.0, 11.5)	(30.0, 30.0)	(31.0, 76.5)	(32.0, 334.5)	(33.0, 1907.5)	(34.0, 8294.5)	(35.0, 20359.5)	(36.0, 17596.5)	(37.0, 6354.0)	(38.0, 12284.5)	(39.0, 29326.5)	(40.0, 25425.0)	(41.0, 6998.5)	(42.0, 1223.0)	(43.0, 199.0)	(44.0, 51.0)	(45.0, 18.0)	(46.0, 10.0)	(47.0, 4.5)	(48.0, 7.5)	(49.0, 7.5)	(50.0, 1.0)	(51.0, 0.0)	(52.0, 0.5)	(53.0, 0.5)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 1.0)	(57.0, 1.5)	(58.0, 2.0)	(59.0, 5.0)	(60.0, 5.0)	(61.0, 1.5)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 1.0)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609077_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 1.5)	(5.0, 2.5)	(6.0, 3.0)	(7.0, 5.5)	(8.0, 7.0)	(9.0, 7.0)	(10.0, 7.0)	(11.0, 8.0)	(12.0, 7.5)	(13.0, 6.5)	(14.0, 8.5)	(15.0, 8.0)	(16.0, 4.5)	(17.0, 6.0)	(18.0, 6.5)	(19.0, 4.5)	(20.0, 4.0)	(21.0, 6.5)	(22.0, 9.5)	(23.0, 8.0)	(24.0, 9.0)	(25.0, 9.5)	(26.0, 8.0)	(27.0, 11.5)	(28.0, 13.5)	(29.0, 23.0)	(30.0, 40.0)	(31.0, 84.0)	(32.0, 329.5)	(33.0, 1810.5)	(34.0, 7898.5)	(35.0, 19274.5)	(36.0, 16722.5)	(37.0, 6287.0)	(38.0, 12700.0)	(39.0, 29825.5)	(40.0, 26006.0)	(41.0, 7589.0)	(42.0, 1372.0)	(43.0, 227.0)	(44.0, 60.5)	(45.0, 24.0)	(46.0, 16.5)	(47.0, 11.5)	(48.0, 7.5)	(49.0, 5.5)	(50.0, 4.0)	(51.0, 1.5)	(52.0, 0.5)	(53.0, 3.5)	(54.0, 4.5)	(55.0, 2.0)	(56.0, 0.5)	(57.0, 0.5)	(58.0, 0.5)	(59.0, 0.5)	(60.0, 0.5)	(61.0, 0.0)	(62.0, 1.0)	(63.0, 1.0)	(64.0, 0.5)	(65.0, 1.0)	(66.0, 0.5)	(67.0, 0.5)	(68.0, 1.5)	(69.0, 2.5)	(70.0, 2.5)	(71.0, 1.0)	(72.0, 1.5)	(73.0, 2.0)	(74.0, 1.5)	(75.0, 1.5)	(76.0, 2.0)	(77.0, 2.0)	(78.0, 2.5)	(79.0, 2.0)	(80.0, 0.5)	(81.0, 3.5)	(82.0, 4.0)	(83.0, 1.5)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 1.5)	(87.0, 2.0)	(88.0, 1.5)	(89.0, 1.0)	(90.0, 1.5)	(91.0, 2.5)	(92.0, 2.5)	(93.0, 1.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 0.5)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 11.5)
SRR23609078_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.5)	(12.0, 5.0)	(13.0, 3.0)	(14.0, 2.0)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.5)	(20.0, 2.0)	(21.0, 1.5)	(22.0, 0.5)	(23.0, 2.5)	(24.0, 2.5)	(25.0, 5.5)	(26.0, 8.5)	(27.0, 9.5)	(28.0, 10.5)	(29.0, 9.0)	(30.0, 22.5)	(31.0, 48.0)	(32.0, 93.0)	(33.0, 209.0)	(34.0, 929.0)	(35.0, 31750.5)	(36.0, 31456.5)	(37.0, 724.5)	(38.0, 1073.5)	(39.0, 31439.0)	(40.0, 33166.5)	(41.0, 2784.0)	(42.0, 287.5)	(43.0, 94.0)	(44.0, 35.0)	(45.0, 19.0)	(46.0, 14.0)	(47.0, 9.0)	(48.0, 12.0)	(49.0, 8.5)	(50.0, 0.5)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 1.0)	(54.0, 1.5)	(55.0, 0.5)	(56.0, 0.5)	(57.0, 1.5)	(58.0, 2.5)	(59.0, 4.0)	(60.0, 3.0)	(61.0, 0.5)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609078_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 1.5)	(6.0, 3.0)	(7.0, 5.0)	(8.0, 7.0)	(9.0, 8.5)	(10.0, 8.5)	(11.0, 6.0)	(12.0, 4.0)	(13.0, 3.5)	(14.0, 4.0)	(15.0, 4.5)	(16.0, 4.5)	(17.0, 5.0)	(18.0, 4.0)	(19.0, 5.5)	(20.0, 7.0)	(21.0, 6.5)	(22.0, 7.5)	(23.0, 8.0)	(24.0, 11.0)	(25.0, 12.5)	(26.0, 7.5)	(27.0, 9.0)	(28.0, 18.5)	(29.0, 30.0)	(30.0, 44.5)	(31.0, 59.5)	(32.0, 107.0)	(33.0, 207.5)	(34.0, 947.0)	(35.0, 29987.0)	(36.0, 29893.5)	(37.0, 935.5)	(38.0, 1001.5)	(39.0, 32523.5)	(40.0, 34544.5)	(41.0, 3084.5)	(42.0, 373.0)	(43.0, 133.0)	(44.0, 62.0)	(45.0, 33.5)	(46.0, 17.5)	(47.0, 14.5)	(48.0, 13.5)	(49.0, 10.5)	(50.0, 4.0)	(51.0, 1.0)	(52.0, 1.0)	(53.0, 0.5)	(54.0, 0.5)	(55.0, 0.5)	(56.0, 1.0)	(57.0, 2.0)	(58.0, 1.5)	(59.0, 0.5)	(60.0, 0.0)	(61.0, 0.5)	(62.0, 0.5)	(63.0, 0.5)	(64.0, 0.5)	(65.0, 0.0)	(66.0, 0.5)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 1.5)	(70.0, 2.0)	(71.0, 1.0)	(72.0, 2.0)	(73.0, 1.5)	(74.0, 0.0)	(75.0, 2.0)	(76.0, 3.0)	(77.0, 1.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 2.0)	(81.0, 2.5)	(82.0, 2.0)	(83.0, 2.0)	(84.0, 2.0)	(85.0, 1.0)	(86.0, 0.0)	(87.0, 0.5)	(88.0, 0.5)	(89.0, 0.5)	(90.0, 1.5)	(91.0, 1.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.5)	(96.0, 1.5)	(97.0, 1.5)	(98.0, 1.5)	(99.0, 1.5)	(100.0, 9.5)
SRR23609079_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.5)	(20.0, 3.0)	(21.0, 4.0)	(22.0, 2.5)	(23.0, 2.0)	(24.0, 1.5)	(25.0, 3.5)	(26.0, 5.5)	(27.0, 4.0)	(28.0, 4.5)	(29.0, 7.5)	(30.0, 19.5)	(31.0, 43.5)	(32.0, 183.5)	(33.0, 1062.0)	(34.0, 4657.0)	(35.0, 13176.0)	(36.0, 11399.5)	(37.0, 2978.0)	(38.0, 5499.0)	(39.0, 15501.0)	(40.0, 14374.0)	(41.0, 4905.5)	(42.0, 1800.5)	(43.0, 296.5)	(44.0, 43.0)	(45.0, 15.5)	(46.0, 15.0)	(47.0, 14.5)	(48.0, 11.5)	(49.0, 11.0)	(50.0, 13.0)	(51.0, 17.0)	(52.0, 11.0)	(53.0, 3.0)	(54.0, 3.0)	(55.0, 3.5)	(56.0, 5.5)	(57.0, 9.0)	(58.0, 5.5)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 1.0)	(63.0, 1.0)	(64.0, 0.5)	(65.0, 0.5)	(66.0, 1.0)	(67.0, 1.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609079_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 6.0)	(8.0, 7.5)	(9.0, 7.0)	(10.0, 6.5)	(11.0, 5.0)	(12.0, 4.5)	(13.0, 3.5)	(14.0, 5.5)	(15.0, 5.5)	(16.0, 2.0)	(17.0, 2.5)	(18.0, 3.0)	(19.0, 4.0)	(20.0, 4.0)	(21.0, 4.5)	(22.0, 7.5)	(23.0, 9.0)	(24.0, 10.0)	(25.0, 8.5)	(26.0, 7.5)	(27.0, 11.0)	(28.0, 15.0)	(29.0, 22.0)	(30.0, 27.5)	(31.0, 50.0)	(32.0, 182.0)	(33.0, 973.0)	(34.0, 4268.0)	(35.0, 11915.0)	(36.0, 10355.5)	(37.0, 2936.0)	(38.0, 5867.5)	(39.0, 16527.0)	(40.0, 15257.5)	(41.0, 5153.5)	(42.0, 1899.0)	(43.0, 326.5)	(44.0, 48.0)	(45.0, 20.0)	(46.0, 16.5)	(47.0, 10.0)	(48.0, 10.5)	(49.0, 13.0)	(50.0, 10.5)	(51.0, 11.0)	(52.0, 8.0)	(53.0, 4.0)	(54.0, 4.5)	(55.0, 4.0)	(56.0, 2.0)	(57.0, 1.5)	(58.0, 1.5)	(59.0, 1.0)	(60.0, 0.5)	(61.0, 1.0)	(62.0, 1.5)	(63.0, 0.5)	(64.0, 0.5)	(65.0, 0.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 1.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 1.0)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 0.5)	(75.0, 1.5)	(76.0, 1.5)	(77.0, 1.0)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 1.0)	(87.0, 2.0)	(88.0, 1.5)	(89.0, 1.0)	(90.0, 1.5)	(91.0, 1.5)	(92.0, 3.0)	(93.0, 3.0)	(94.0, 1.5)	(95.0, 1.5)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 1.5)	(100.0, 9.0)
SRR23609080_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 0.5)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 5.5)	(25.0, 6.0)	(26.0, 5.0)	(27.0, 6.0)	(28.0, 8.5)	(29.0, 14.0)	(30.0, 24.0)	(31.0, 52.5)	(32.0, 96.0)	(33.0, 201.5)	(34.0, 1008.0)	(35.0, 35927.5)	(36.0, 35558.0)	(37.0, 679.5)	(38.0, 1115.5)	(39.0, 29505.5)	(40.0, 30941.0)	(41.0, 6497.0)	(42.0, 4222.5)	(43.0, 228.5)	(44.0, 159.0)	(45.0, 45.0)	(46.0, 34.0)	(47.0, 26.0)	(48.0, 24.5)	(49.0, 16.5)	(50.0, 16.5)	(51.0, 28.0)	(52.0, 22.0)	(53.0, 9.5)	(54.0, 8.5)	(55.0, 6.0)	(56.0, 5.0)	(57.0, 6.5)	(58.0, 10.0)	(59.0, 9.0)	(60.0, 4.5)	(61.0, 2.0)	(62.0, 1.5)	(63.0, 2.5)	(64.0, 5.5)	(65.0, 4.0)	(66.0, 0.0)	(67.0, 0.5)	(68.0, 0.5)	(69.0, 0.5)	(70.0, 1.0)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.5)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609080_2	(0.0, 0.0)	(1.0, 0.5)	(2.0, 1.0)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 1.5)	(6.0, 3.0)	(7.0, 4.5)	(8.0, 5.0)	(9.0, 5.0)	(10.0, 4.5)	(11.0, 5.5)	(12.0, 5.5)	(13.0, 4.0)	(14.0, 5.5)	(15.0, 6.0)	(16.0, 4.0)	(17.0, 4.5)	(18.0, 5.5)	(19.0, 2.5)	(20.0, 2.0)	(21.0, 6.5)	(22.0, 8.0)	(23.0, 7.0)	(24.0, 9.5)	(25.0, 10.5)	(26.0, 13.0)	(27.0, 17.5)	(28.0, 16.5)	(29.0, 18.5)	(30.0, 35.0)	(31.0, 54.0)	(32.0, 88.0)	(33.0, 203.0)	(34.0, 895.0)	(35.0, 31650.0)	(36.0, 31665.5)	(37.0, 959.0)	(38.0, 1188.0)	(39.0, 32664.0)	(40.0, 34409.5)	(41.0, 7172.0)	(42.0, 4580.5)	(43.0, 275.5)	(44.0, 157.5)	(45.0, 61.5)	(46.0, 50.5)	(47.0, 40.0)	(48.0, 28.5)	(49.0, 15.0)	(50.0, 15.0)	(51.0, 30.5)	(52.0, 30.0)	(53.0, 12.0)	(54.0, 9.5)	(55.0, 6.0)	(56.0, 2.5)	(57.0, 4.5)	(58.0, 3.5)	(59.0, 3.5)	(60.0, 3.0)	(61.0, 0.0)	(62.0, 4.0)	(63.0, 5.5)	(64.0, 4.0)	(65.0, 4.5)	(66.0, 3.5)	(67.0, 2.0)	(68.0, 0.5)	(69.0, 0.5)	(70.0, 1.0)	(71.0, 1.0)	(72.0, 2.5)	(73.0, 3.0)	(74.0, 1.5)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 1.5)	(78.0, 2.0)	(79.0, 1.0)	(80.0, 1.0)	(81.0, 0.5)	(82.0, 1.0)	(83.0, 1.5)	(84.0, 0.5)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.5)	(89.0, 1.0)	(90.0, 0.5)	(91.0, 0.0)	(92.0, 1.0)	(93.0, 1.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 10.0)
SRR23609081_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 0.5)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 0.5)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.5)	(20.0, 1.0)	(21.0, 1.5)	(22.0, 1.5)	(23.0, 2.5)	(24.0, 4.0)	(25.0, 6.5)	(26.0, 10.5)	(27.0, 16.5)	(28.0, 20.0)	(29.0, 23.0)	(30.0, 52.0)	(31.0, 225.0)	(32.0, 2584.0)	(33.0, 5034.0)	(34.0, 4688.0)	(35.0, 3727.0)	(36.0, 3204.0)	(37.0, 3947.0)	(38.0, 7243.0)	(39.0, 8485.0)	(40.0, 7265.5)	(41.0, 8158.5)	(42.0, 7719.0)	(43.0, 6041.5)	(44.0, 7101.0)	(45.0, 6509.0)	(46.0, 3717.0)	(47.0, 2727.5)	(48.0, 2083.0)	(49.0, 2179.0)	(50.0, 2747.5)	(51.0, 2359.0)	(52.0, 1438.0)	(53.0, 567.5)	(54.0, 164.5)	(55.0, 55.0)	(56.0, 34.0)	(57.0, 27.0)	(58.0, 28.0)	(59.0, 22.0)	(60.0, 16.0)	(61.0, 11.5)	(62.0, 9.0)	(63.0, 7.0)	(64.0, 5.5)	(65.0, 3.5)	(66.0, 3.5)	(67.0, 5.5)	(68.0, 3.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.5)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.5)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609081_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.5)	(6.0, 0.5)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 1.0)	(12.0, 1.5)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.5)	(18.0, 0.5)	(19.0, 0.0)	(20.0, 0.5)	(21.0, 0.5)	(22.0, 0.0)	(23.0, 3.0)	(24.0, 5.5)	(25.0, 6.5)	(26.0, 8.5)	(27.0, 8.5)	(28.0, 12.5)	(29.0, 23.0)	(30.0, 42.0)	(31.0, 214.0)	(32.0, 2677.5)	(33.0, 5130.5)	(34.0, 4781.0)	(35.0, 3853.0)	(36.0, 3569.5)	(37.0, 4186.0)	(38.0, 7225.5)	(39.0, 9245.0)	(40.0, 8381.5)	(41.0, 8822.0)	(42.0, 8062.5)	(43.0, 6918.5)	(44.0, 7254.0)	(45.0, 4922.5)	(46.0, 2633.5)	(47.0, 2323.5)	(48.0, 2616.5)	(49.0, 3215.0)	(50.0, 2204.0)	(51.0, 864.0)	(52.0, 461.5)	(53.0, 278.0)	(54.0, 92.0)	(55.0, 33.5)	(56.0, 38.5)	(57.0, 32.0)	(58.0, 19.5)	(59.0, 13.5)	(60.0, 14.0)	(61.0, 13.5)	(62.0, 11.5)	(63.0, 7.0)	(64.0, 4.0)	(65.0, 5.0)	(66.0, 3.0)	(67.0, 2.0)	(68.0, 2.5)	(69.0, 3.0)	(70.0, 2.0)	(71.0, 0.5)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 1.0)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 1.5)	(98.0, 1.0)	(99.0, 2.0)	(100.0, 15.0)
