Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR23609077_1	(3.0, 57.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 130527.0)
SRR23609077_2	(3.0, 355.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 130229.0)
SRR23609078_1	(19.0, 1.0)	(20.0, 0.0)	(21.0, 3.0)	(22.0, 6.0)	(23.0, 24.0)	(24.0, 39.0)	(25.0, 85.0)	(26.0, 185.0)	(27.0, 311.0)	(28.0, 555.0)	(29.0, 836.0)	(30.0, 1285.0)	(31.0, 1801.0)	(32.0, 2485.0)	(33.0, 3939.0)	(34.0, 6605.0)	(35.0, 19139.0)	(36.0, 96889.0)	(37.0, 70.0)									
SRR23609078_2	(14.0, 1.0)	(15.0, 11.0)	(16.0, 10.0)	(17.0, 13.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 24.0)	(21.0, 55.0)	(22.0, 73.0)	(23.0, 86.0)	(24.0, 146.0)	(25.0, 205.0)	(26.0, 330.0)	(27.0, 473.0)	(28.0, 689.0)	(29.0, 880.0)	(30.0, 1241.0)	(31.0, 1814.0)	(32.0, 2506.0)	(33.0, 3823.0)	(34.0, 6464.0)	(35.0, 15506.0)	(36.0, 99806.0)	(37.0, 87.0)				
SRR23609079_1	(3.0, 32.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 76091.0)
SRR23609079_2	(3.0, 207.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 75916.0)
SRR23609080_1	(21.0, 2.0)	(22.0, 9.0)	(23.0, 28.0)	(24.0, 48.0)	(25.0, 104.0)	(26.0, 171.0)	(27.0, 330.0)	(28.0, 552.0)	(29.0, 824.0)	(30.0, 1257.0)	(31.0, 1907.0)	(32.0, 2684.0)	(33.0, 4068.0)	(34.0, 6840.0)	(35.0, 19658.0)	(36.0, 107769.0)	(37.0, 309.0)											
SRR23609080_2	(15.0, 7.0)	(16.0, 6.0)	(17.0, 8.0)	(18.0, 6.0)	(19.0, 8.0)	(20.0, 28.0)	(21.0, 47.0)	(22.0, 79.0)	(23.0, 113.0)	(24.0, 123.0)	(25.0, 204.0)	(26.0, 323.0)	(27.0, 445.0)	(28.0, 670.0)	(29.0, 951.0)	(30.0, 1299.0)	(31.0, 1982.0)	(32.0, 2643.0)	(33.0, 3874.0)	(34.0, 6767.0)	(35.0, 16850.0)	(36.0, 109814.0)	(37.0, 313.0)					
SRR23609081_1	(3.0, 216.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 100075.0)
SRR23609081_2	(3.0, 275.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 100016.0)
