Sample	Unique Reads	Duplicate Reads
SRR23609077_1	5943.0	124641.0
SRR23609077_2	7180.0	123404.0
SRR23609078_1	1737.0	132521.0
SRR23609078_2	2574.0	131684.0
SRR23609079_1	4156.0	71967.0
SRR23609079_2	4887.0	71236.0
SRR23609080_1	2164.0	144396.0
SRR23609080_2	2979.0	143581.0
SRR23609081_1	15455.0	84836.0
SRR23609081_2	15828.0	84463.0
SRR23609082_1	18650.0	185573.0
SRR23609082_2	19929.0	184294.0
SRR23609083_1	8846.0	132426.0
SRR23609083_2	9492.0	131780.0
SRR23609084_1	24350.0	159188.0
SRR23609084_2	25173.0	158365.0
SRR23609085_1	17426.0	121178.0
SRR23609085_2	18084.0	120520.0
SRR23609086_1	10761.0	185657.0
SRR23609086_2	11965.0	184453.0
