Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23609077_1	(1.0, 3.01874655394229)	(2.0, 1.0613857746737732)	(3.0, 0.6800220547693439)	(4.0, 0.5544323960056362)	(5.0, 0.4058690191753967)	(6.0, 0.3629847454512038)	(7.0, 0.3805979293022116)	(8.0, 0.29406359125160814)	(9.0, 0.3308215401580592)	('>10', 5.304631501562213)	('>50', 3.371776021564663)	('>100', 6.690712491576304)	('>500', 5.53513447282975)	('>1k', 25.587361391901)	('>5k', 0.0)	('>10k+', 46.42146051583655)
SRR23609077_2	(1.0, 3.89557679348159)	(2.0, 1.203822826686271)	(3.0, 0.6915089138026098)	(4.0, 0.45947436133063774)	(5.0, 0.402040066164308)	(6.0, 0.3905532071310421)	(7.0, 0.3323531213624947)	(8.0, 0.30018991606934997)	(9.0, 0.39285057893769526)	('>10', 5.3689579121485025)	('>50', 3.5808368559701034)	('>100', 7.330913435030325)	('>500', 4.5947436133063775)	('>1k', 25.873001286528215)	('>5k', 0.0)	('>10k+', 45.18317711205048)
SRR23609078_1	(1.0, 0.8513459160720404)	(2.0, 0.2130226876610705)	(3.0, 0.17652579362123672)	(4.0, 0.1608842676041651)	(5.0, 0.13779439586467845)	(6.0, 0.16982228247106318)	(7.0, 0.10427684011381072)	(8.0, 0.143008237870369)	(9.0, 0.09384915610242965)	('>10', 2.5957484842616454)	('>50', 0.3753966244097186)	('>100', 0.4781837953790463)	('>500', 1.1127828509288087)	('>1k', 2.9294343726258396)	('>5k', 0.0)	('>10k+', 90.45792429501408)
SRR23609078_2	(1.0, 1.4449790701485201)	(2.0, 0.2517540854176287)	(3.0, 0.20110533450520637)	(4.0, 0.11023551669174275)	(5.0, 0.14151856872588597)	(6.0, 0.11619419326967481)	(7.0, 0.13034605014226341)	(8.0, 0.16684294418209716)	(9.0, 0.13407022300347093)	('>10', 2.703004662664422)	('>50', 0.3619896021093715)	('>100', 0.6122540183825173)	('>500', 1.1366175572405368)	('>1k', 2.861654426551863)	('>5k', 0.0)	('>10k+', 89.6274337469648)
SRR23609079_1	(1.0, 3.629652010561854)	(2.0, 1.2978994522023568)	(3.0, 0.8670178526857848)	(4.0, 0.6200491310116522)	(5.0, 0.5188970481983106)	(6.0, 0.44927288730081577)	(7.0, 0.3126518923321467)	(8.0, 0.38884437029544294)	(9.0, 0.4138039751454882)	('>10', 6.467164982988059)	('>50', 3.0700313965555748)	('>100', 10.119149271573638)	('>500', 12.51658500059115)	('>1k', 9.089237155655978)	('>5k', 0.0)	('>10k+', 50.23974357290175)
SRR23609079_2	(1.0, 4.5531573900135305)	(2.0, 1.3478186619024473)	(3.0, 0.7842570576566873)	(4.0, 0.6253037846642934)	(5.0, 0.5780119017905232)	(6.0, 0.44927288730081577)	(7.0, 0.37702139957700037)	(8.0, 0.3783350629901607)	(9.0, 0.24828238508729292)	('>10', 7.003139655557453)	('>50', 2.8059850505103583)	('>100', 9.01173101427952)	('>500', 15.178067075653875)	('>1k', 7.868843844830077)	('>5k', 0.0)	('>10k+', 48.790772828185965)
SRR23609080_1	(1.0, 1.0241539301310043)	(2.0, 0.26200873362445415)	(3.0, 0.2087882096069869)	(4.0, 0.13919213973799124)	(5.0, 0.12281659388646289)	(6.0, 0.11462882096069868)	(7.0, 0.1050764192139738)	(8.0, 0.14192139737991266)	(9.0, 0.10439410480349345)	('>10', 2.2591430131004366)	('>50', 0.4223526200873362)	('>100', 0.6127183406113538)	('>500', 0.6093067685589519)	('>1k', 2.330103711790393)	('>5k', 5.373908296943231)	('>10k+', 86.16948689956332)
SRR23609080_2	(1.0, 1.5345251091703058)	(2.0, 0.31386462882096067)	(3.0, 0.2169759825327511)	(4.0, 0.14737991266375547)	(5.0, 0.1023471615720524)	(6.0, 0.13919213973799124)	(7.0, 0.11462882096069868)	(8.0, 0.10917030567685589)	(9.0, 0.17194323144104803)	('>10', 2.476801310043668)	('>50', 0.5601801310043668)	('>100', 0.5963427947598253)	('>500', 0.5942958515283843)	('>1k', 2.3492085152838427)	('>5k', 5.732805676855896)	('>10k+', 84.8403384279476)
SRR23609081_1	(1.0, 11.530446400973169)	(2.0, 3.07903999361857)	(3.0, 1.9234028975680768)	(4.0, 1.3919494271669441)	(5.0, 1.146663210058729)	(6.0, 0.8854234178540447)	(7.0, 0.8026642470411103)	(8.0, 0.7498180295340559)	(9.0, 0.6012503614481858)	('>10', 10.478507543049725)	('>50', 5.16197864215134)	('>100', 20.62697550129124)	('>500', 14.234577379824708)	('>1k', 27.3873029484201)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609081_2	(1.0, 11.918317695506078)	(2.0, 3.1388659002303294)	(3.0, 1.8546031049645533)	(4.0, 1.387961033392827)	(5.0, 1.061909842358736)	(6.0, 0.9093537804987487)	(7.0, 0.7677658015175839)	(8.0, 0.7418412419858212)	(9.0, 0.6191981334317137)	('>10', 10.320965988972091)	('>50', 5.4451546001136695)	('>100', 20.695775293894766)	('>500', 12.970256553429522)	('>1k', 28.16803102970356)	('>5k', 0.0)	('>10k+', 0.0)
