Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR23609077_1	95.44890645102004	37.0	150.0	150	40.0	0.130584
SRR23609077_2	94.5016234760767	37.0	150.0	150	40.0	0.130584
SRR23609078_1	98.70622234801651	37.0	150.0	150	50.0	0.134258
SRR23609078_2	98.08279581105036	37.0	150.0	150	40.0	0.134258
SRR23609079_1	94.54041485490588	39.0	150.0	150	40.0	0.076123
SRR23609079_2	93.58012689988571	39.0	150.0	150	40.0	0.076123
SRR23609080_1	98.52347161572052	39.0	150.0	150	40.0	0.14656
SRR23609080_2	97.96738537117903	40.0	150.0	150	40.0	0.14656
SRR23609081_1	84.5898435552542	43.0	150.0	150	50.0	0.10029099999999999
SRR23609081_2	84.21792583581777	42.0	150.0	150	40.0	0.10029099999999999
SRR23609082_1	90.86831551784078	42.0	150.0	150	50.0	0.204223
SRR23609082_2	90.24154967853768	42.0	150.0	150	50.0	0.204223
SRR23609083_1	93.73832040319384	42.0	150.0	150	50.0	0.14127199999999998
SRR23609083_2	93.28104649187384	42.0	150.0	150	50.0	0.14127199999999998
SRR23609084_1	86.73299262278111	44.0	150.0	150	50.0	0.18353799999999998
SRR23609084_2	86.28458411882008	44.0	150.0	150	50.0	0.18353799999999998
SRR23609085_1	87.42749127009321	44.0	150.0	150	50.0	0.138604
SRR23609085_2	86.95275749617616	44.0	150.0	150	50.0	0.138604
SRR23609086_1	94.52137787779124	44.0	150.0	150	50.0	0.19641799999999998
SRR23609086_2	93.90890855216935	44.0	150.0	150	50.0	0.19641799999999998
