Module	Section	Sample Name	Source
FastQC	all_sections	SRR23609077_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609077_1_fastqc.zip
FastQC	all_sections	SRR23609077_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609077_2_fastqc.zip
FastQC	all_sections	SRR23609078_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609078_1_fastqc.zip
FastQC	all_sections	SRR23609078_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609078_2_fastqc.zip
FastQC	all_sections	SRR23609079_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609079_1_fastqc.zip
FastQC	all_sections	SRR23609079_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609079_2_fastqc.zip
FastQC	all_sections	SRR23609080_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609080_1_fastqc.zip
FastQC	all_sections	SRR23609080_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609080_2_fastqc.zip
FastQC	all_sections	SRR23609081_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609081_1_fastqc.zip
FastQC	all_sections	SRR23609081_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609081_2_fastqc.zip
FastQC	all_sections	SRR23609082_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609082_1_fastqc.zip
FastQC	all_sections	SRR23609082_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609082_2_fastqc.zip
FastQC	all_sections	SRR23609083_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609083_1_fastqc.zip
FastQC	all_sections	SRR23609083_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609083_2_fastqc.zip
FastQC	all_sections	SRR23609084_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609084_1_fastqc.zip
FastQC	all_sections	SRR23609084_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609084_2_fastqc.zip
FastQC	all_sections	SRR23609085_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609085_1_fastqc.zip
FastQC	all_sections	SRR23609085_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609085_2_fastqc.zip
FastQC	all_sections	SRR23609086_1	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609086_1_fastqc.zip
FastQC	all_sections	SRR23609086_2	/home/macoe/PRODATA_project/snakemake/rawQC/SRR23609086_2_fastqc.zip
