Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR23609077_1	25.48648752546804	57.297505093607015
SRR23609077_2	23.715834390497058	58.60223734286705
SRR23609078_1	45.56611927398444	49.702993635577926
SRR23609078_2	48.12288834760745	47.03857939812995
SRR23609079_1	28.8663193299479	54.706852206027875
SRR23609079_2	25.475169821275472	56.7921915188287
SRR23609080_1	47.69354595301575	47.80277823690472
SRR23609080_2	44.184458833083006	51.08477718769989
SRR23609081_1	3.223634810077419	50.94119779394629
SRR23609081_2	2.915512286061987	50.977447502653995
SRR23609082_1	4.441151788524074	61.767019825868026
SRR23609082_2	4.437218084548411	62.07515997062831
SRR23609083_1	4.810773691439035	70.07668243552563
SRR23609083_2	3.944758126049138	70.00610407446972
SRR23609084_1	2.825028100412139	59.019607843137244
SRR23609084_2	3.4744598476333213	58.323966529286885
SRR23609085_1	4.00478978179883	65.50858169238964
SRR23609085_2	3.8318254390633313	65.46035125066528
SRR23609086_1	3.3326255441129633	71.50334430406622
SRR23609086_2	3.722263509926744	71.02133984499412
