Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_1	(1, 0.0)	(2, 0.0007688463460577404)	(3, 0.02306539038173221)	(4, 0.0)	(5, 0.0015376926921154808)	(6, 0.07842232729788952)	(7, 0.0)	(8, 0.011532695190866105)	(9, 0.0)	(10, 0.00322915465344251)	(15, 0.002306539038173221)	(20, 0.00030753853842309614)	(25, 0.0035366931918656055)	(30, 0.0004613078076346442)	(35, 0.005843232230038827)	(40, 0.003382923922654058)	(45, 0.00399800099950025)	(50, 0.0016915243863995287)	(55, 0.004767404486588984)	(60, 0.007843716260485203)	(65, 0.0059988186941648414)	(70, 0.004460680638338781)	(75, 0.007998461834262642)	(80, 0.007998646382919812)	(85, 0.009998538675116714)	(90, 0.004922357501595921)	(95, 0.0018458840630984701)	(100, 0.004614738551987337)	(105, 0.0010767988309041264)	(110, 0.0016921124485636272)	(115, 0.009998846286966888)	(120, 0.0003076658011002129)	(125, 0.008768718136478176)	(130, 0.000769287578159618)	(135, 0.0007693195368696389)	(140, 0.0)	(145, 0.000769329006627)	(150, 0.0)
SRR23609077_2	(1, 0.0)	(2, 0.0015376926921154808)	(3, 0.003844231730288702)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0030753853842309616)	(8, 0.006919617114519662)	(9, 0.007688463460577404)	(10, 0.009072386883481335)	(15, 0.0029216161150194134)	(20, 0.001691461961327029)	(25, 0.008611079075846692)	(30, 0.002767846845807865)	(35, 0.005997001499250375)	(40, 0.006765847845308116)	(45, 0.00553569369161573)	(50, 0.010148959039723949)	(55, 0.002767910688748443)	(60, 0.0061513383005390105)	(65, 0.0081508992902566)	(70, 0.002768246976843614)	(75, 0.0053830667177288995)	(80, 0.00046142133150815567)	(85, 0.005690863088600586)	(90, 0.0063064019208377365)	(95, 0.0010767822669343241)	(100, 0.0032303666773832803)	(105, 0.002307426066223128)	(110, 0.0009229817849544739)	(115, 0.0018459806079737131)	(120, 0.0006153278158939175)	(125, 0.007692426037323651)	(130, 0.002923279303951812)	(135, 0.0046158959146243884)	(140, 0.0007693254554406697)	(145, 0.007693491306354824)	(150, 0.0)
SRR23609078_1	(1, 0.0)	(2, 0.001571462245619549)	(3, 0.020429009193054137)	(4, 0.0)	(5, 0.001571462245619549)	(6, 0.06678714543883084)	(7, 0.0)	(8, 0.009428773473717294)	(9, 0.0)	(10, 0.0026714858175532334)	(15, 0.0014143160210575941)	(20, 0.0001571462245619549)	(25, 0.0026714858175532334)	(30, 0.0006285848982478196)	(35, 0.005814410308792331)	(40, 0.0026714858175532334)	(45, 0.003928655614048872)	(50, 0.0020434917930225757)	(55, 0.003621876131836291)	(60, 0.0059957241020219786)	(65, 0.005370984991256352)	(70, 0.0033242786315369564)	(75, 0.006664730721076259)	(80, 0.00556811474770872)	(85, 0.007967048288279675)	(90, 0.004785887375307693)	(95, 0.0012775715919180822)	(100, 0.004638760523188204)	(105, 0.0009630586743497347)	(110, 0.0008058745027754318)	(115, 0.008240692864529471)	(120, 0.0)	(125, 0.006663286267779597)	(130, 0.00032685827098511815)	(135, 0.0004931282577285526)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR23609078_2	(1, 0.0)	(2, 0.0007857311228097745)	(3, 0.004714386736858647)	(4, 0.0)	(5, 0.0)	(6, 0.0007857311228097745)	(7, 0.003142924491239098)	(8, 0.003142924491239098)	(9, 0.011785966842146618)	(10, 0.00770016500353579)	(15, 0.0012571697964956392)	(20, 0.001728608470181504)	(25, 0.010214504596527068)	(30, 0.0020429009193054137)	(35, 0.005500117859668421)	(40, 0.006442995207040151)	(45, 0.004400094287734737)	(50, 0.008961742791692935)	(55, 0.0025193319361538303)	(60, 0.005362344669435108)	(65, 0.008210738066402766)	(70, 0.0011078315779478212)	(75, 0.003013973734012059)	(80, 0.0001589716442278191)	(85, 0.0047761878379152896)	(90, 0.005739265182747769)	(95, 0.0014363413513099432)	(100, 0.0030360118947750235)	(105, 0.0012812997504668736)	(110, 0.0009632442064874497)	(115, 0.0003215656387821023)	(120, 0.0004832559855280941)	(125, 0.005647383809111973)	(130, 0.0022638409619383654)	(135, 0.0038913218658239795)	(140, 0.00048784057370051474)	(145, 0.007207525967569409)	(150, 0.0)
SRR23609079_1	(1, 0.0)	(2, 0.0)	(3, 0.022423003363450506)	(4, 0.0)	(5, 0.0026380003957000597)	(6, 0.060674009101101364)	(7, 0.0)	(8, 0.007914001187100178)	(9, 0.0)	(10, 0.004484600672690101)	(15, 0.0010552001582800237)	(20, 0.0010552001582800237)	(25, 0.004220800633120095)	(30, 0.0007914001187100178)	(35, 0.004748400712260107)	(40, 0.0023742003561300533)	(45, 0.004220800633120095)	(50, 0.0034295000316569234)	(55, 0.0023744321149858326)	(60, 0.006068233326209755)	(65, 0.004749428089700866)	(70, 0.004221747275653711)	(75, 0.009498931370220851)	(80, 0.006860701374779006)	(85, 0.010291187840565751)	(90, 0.004485902392041482)	(95, 0.001847136279075904)	(100, 0.004485926066660861)	(105, 0.0018471850219683075)	(110, 0.0023749521711021095)	(115, 0.010027893377104208)	(120, 0.0)	(125, 0.007917259361499424)	(130, 0.0010557627489950457)	(135, 0.0007918596824642673)	(140, 0.0)	(145, 0.0007918680431092962)	(150, 0.0)
SRR23609079_2	(1, 0.0)	(2, 0.0026380003957000597)	(3, 0.003957000593550089)	(4, 0.0)	(5, 0.0)	(6, 0.0026380003957000597)	(7, 0.003957000593550089)	(8, 0.003957000593550089)	(9, 0.011871001780650267)	(10, 0.00976060146409022)	(15, 0.0021104003165600474)	(20, 0.0007914001187100178)	(25, 0.012134801820220273)	(30, 0.0026380003957000597)	(35, 0.004748400712260107)	(40, 0.007386401107960166)	(45, 0.006858801028820154)	(50, 0.010552001582800239)	(55, 0.003957000593550089)	(60, 0.005276237409578481)	(65, 0.00976124521830893)	(70, 0.0031658259639940063)	(75, 0.005276822086666526)	(80, 0.0005277044854881266)	(85, 0.006332537368566868)	(90, 0.006332871561448644)	(95, 0.0007916716146142579)	(100, 0.0034305769966617846)	(105, 0.0026389053820475264)	(110, 0.0005277922187593188)	(115, 0.001847282515470991)	(120, 0.0007917008637456424)	(125, 0.00923724139023122)	(130, 0.00395894312054454)	(135, 0.006070571715886686)	(140, 0.0007918178818871659)	(145, 0.008710272578742184)	(150, 0.0)
SRR23609080_1	(1, 0.0)	(2, 0.0014372668932757468)	(3, 0.013654035486119594)	(4, 0.0)	(5, 0.0028745337865514935)	(6, 0.0704260777705116)	(7, 0.0)	(8, 0.006467701019740861)	(9, 0.0)	(10, 0.004455527369154815)	(15, 0.0011498135146205974)	(20, 0.00014372668932757468)	(25, 0.002730807097223919)	(30, 0.0007186334466378734)	(35, 0.005461614194447838)	(40, 0.004311800679827241)	(45, 0.004311800679827241)	(50, 0.003019184762605815)	(55, 0.0038881200651476114)	(60, 0.008365605821307775)	(65, 0.006064185067377428)	(70, 0.004195601851851851)	(75, 0.009861146358264149)	(80, 0.007123811849952169)	(85, 0.010338822131486519)	(90, 0.005102219319626343)	(95, 0.00204280255000124)	(100, 0.004968087344820331)	(105, 0.0019037214826182905)	(110, 0.0023473007508428277)	(115, 0.00985066683133453)	(120, 0.0)	(125, 0.006653084517828789)	(130, 0.001041046995835812)	(135, 0.0005978519180584161)	(140, 0.0)	(145, 0.001064624210467081)	(150, 0.0)
SRR23609080_2	(1, 0.0)	(2, 0.0028745337865514935)	(3, 0.0035931672331893667)	(4, 0.0)	(5, 0.0)	(6, 0.0021559003399136203)	(7, 0.0035931672331893667)	(8, 0.010060868252930228)	(9, 0.004311800679827241)	(10, 0.007186334466378733)	(15, 0.0014372668932757468)	(20, 0.0015809935826033216)	(25, 0.0076175145343614584)	(30, 0.0035931672331893667)	(35, 0.006180247641085711)	(40, 0.0058927942624305615)	(45, 0.005030434126465114)	(50, 0.009634146867536232)	(55, 0.0033116206207416876)	(60, 0.005336995185164884)	(65, 0.009243318813620031)	(70, 0.0018818161552469378)	(75, 0.005512663167576256)	(80, 0.00014532982604019824)	(85, 0.006403846965522561)	(90, 0.006267161821033178)	(95, 0.00043774020994020465)	(100, 0.0017530583563909205)	(105, 0.0016108695620338546)	(110, 0.0013198803308500028)	(115, 0.0010283123777960915)	(120, 0.0008829034574499395)	(125, 0.007661288540333)	(130, 0.002954187930665209)	(135, 0.004145476618771606)	(140, 0.00029684777349327495)	(145, 0.004926454013044652)	(150, 0.0)
SRR23609081_1	(1, 0.0)	(2, 0.0025892649076927057)	(3, 0.020714119261541646)	(4, 0.0)	(5, 0.0)	(6, 0.06991015250770306)	(7, 0.0)	(8, 0.005178529815385411)	(9, 0.0)	(10, 0.003107117889231247)	(15, 0.0020714119261541646)	(20, 0.0)	(25, 0.003107117889231247)	(30, 0.0015535589446156236)	(35, 0.0036249708707697887)	(40, 0.0025892649076927057)	(45, 0.005178529815385411)	(50, 0.002712864948157151)	(55, 0.00429297730241572)	(60, 0.00785658167273766)	(65, 0.008027808328048358)	(70, 0.002429287489979189)	(75, 0.008948545861297539)	(80, 0.00489795918367347)	(85, 0.008174141919452005)	(90, 0.0049124760516792475)	(95, 0.002459480065914066)	(100, 0.0065693850234444925)	(105, 0.001644128406428542)	(110, 0.0016451833145508237)	(115, 0.008231739942871725)	(120, 0.0)	(125, 0.010712019710116266)	(130, 0.0)	(135, 0.0008247014580721778)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR23609081_2	(1, 0.0)	(2, 0.007767794723078118)	(3, 0.007767794723078118)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0025892649076927057)	(8, 0.0025892649076927057)	(9, 0.010357059630770823)	(10, 0.006732088760001037)	(15, 0.003107117889231247)	(20, 0.003107117889231247)	(25, 0.004142823852308329)	(30, 0.0010357059630770823)	(35, 0.006732088760001037)	(40, 0.005178529815385411)	(45, 0.004660676833846871)	(50, 0.009765519037336834)	(55, 0.003678544277411286)	(60, 0.007140205066689515)	(65, 0.009629891182229641)	(70, 0.0008094544277157195)	(75, 0.0032529846133827786)	(80, 0.0)	(85, 0.004085301086690089)	(90, 0.007366241334435541)	(95, 0.0008196183856796276)	(100, 0.00410475330432641)	(105, 0.0008218952905399852)	(110, 0.0016448450555957626)	(115, 0.0008229572144544206)	(120, 0.0008233502120126796)	(125, 0.006591468991258064)	(130, 0.0032971471434341433)	(135, 0.003298370604921169)	(140, 0.0024739207520719088)	(145, 0.010721384213174107)	(150, 0.0)
