Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609077_2	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609078_1	(1, 34.57562662057044)	(2, 35.780836017914666)	(3, 36.38612398837118)	(4, 36.570786516853936)	(5, 36.46776145203111)	(6, 36.52008328749902)	(7, 36.606804431523535)	(8, 36.649061051308244)	(9, 36.60722086901862)	(10, 36.636784788245464)	(15, 36.580960163432074)	(20, 36.63350514653885)	(25, 36.737056651213955)	(30, 36.64398051386816)	(35, 36.636138917262514)	(40, 36.59999371415101)	(45, 36.64324035515047)	(50, 36.69676858423695)	(55, 36.347381960448445)	(60, 36.69502874884731)	(65, 36.620319702082554)	(70, 36.4936805890516)	(75, 35.83809070024867)	(80, 35.92850349305712)	(85, 36.64162344500901)	(90, 36.5456377786296)	(95, 36.63932619771687)	(100, 36.29304918456437)	(105, 36.22287268337971)	(110, 36.276461066170135)	(115, 36.38036105671435)	(120, 36.31727941787446)	(125, 36.37611206451815)	(130, 35.25532320912301)	(135, 36.23154257417902)	(140, 35.36767408379479)	(145, 34.204775855723675)	(150, 31.40163110522228)
SRR23609078_2	(1, 32.37367800738587)	(2, 36.21857468374322)	(3, 36.39086194704172)	(4, 36.32768916476782)	(5, 36.16314921034022)	(6, 36.55775909483775)	(7, 36.67169010764516)	(8, 36.62977920955449)	(9, 36.62775988056887)	(10, 36.58375579476703)	(15, 36.562096330635654)	(20, 36.56705272255834)	(25, 36.548190461224166)	(30, 36.57351771823682)	(35, 36.61526518425395)	(40, 36.51335428616328)	(45, 36.593976585212545)	(50, 36.57918183617388)	(55, 36.420910443161276)	(60, 36.614108456079826)	(65, 36.521033114136486)	(70, 36.42759596263877)	(75, 36.24209039671327)	(80, 36.48835120891787)	(85, 36.55052131463408)	(90, 36.497146065413006)	(95, 36.61597025586145)	(100, 36.41603571020443)	(105, 36.31830263910122)	(110, 36.33194628264657)	(115, 36.36137722338466)	(120, 36.262944836340225)	(125, 36.22624486058348)	(130, 35.99272879545246)	(135, 36.19485721947079)	(140, 35.7393403856869)	(145, 34.93160257965926)	(150, 32.598975660327724)
SRR23609079_1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609079_2	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609080_1	(1, 34.64245830129426)	(2, 35.924220103052036)	(3, 36.384547943630395)	(4, 36.574748657952036)	(5, 36.48760716621273)	(6, 36.53646705424964)	(7, 36.628725216129006)	(8, 36.66439099408565)	(9, 36.63098172515145)	(10, 36.64204724296278)	(15, 36.576398640345516)	(20, 36.63421701292821)	(25, 36.72577091402988)	(30, 36.646065841196375)	(35, 36.6452925916078)	(40, 36.597989263616306)	(45, 36.64419883150201)	(50, 36.70268943469236)	(55, 36.36015153702344)	(60, 36.70195662461723)	(65, 36.60650028806727)	(70, 36.49312021303184)	(75, 35.82456786230231)	(80, 35.99377902503365)	(85, 36.63769858995732)	(90, 36.55460930489178)	(95, 36.64016976076254)	(100, 36.465391595411106)	(105, 36.578439439351676)	(110, 36.12182100996937)	(115, 36.03814332128652)	(120, 36.32599067230832)	(125, 36.4186420157536)	(130, 35.471763454392644)	(135, 36.37385054671233)	(140, 34.7609271472763)	(145, 34.40680005464168)	(150, 35.25458179126573)
SRR23609080_2	(1, 32.45192701558716)	(2, 36.22585211960935)	(3, 36.4235122491071)	(4, 36.34441945197013)	(5, 36.204731482612665)	(6, 36.56005979030276)	(7, 36.68609372417411)	(8, 36.63331009751856)	(9, 36.61786666475031)	(10, 36.597065101003935)	(15, 36.560137402715)	(20, 36.56986913684936)	(25, 36.5488088650622)	(30, 36.57909495303731)	(35, 36.61971930177574)	(40, 36.521427493478406)	(45, 36.60715471459473)	(50, 36.59070936061215)	(55, 36.43374237996893)	(60, 36.60122982385756)	(65, 36.534667237769135)	(70, 36.44066993091167)	(75, 36.25329851519374)	(80, 36.49519835049583)	(85, 36.54948551491591)	(90, 36.49325242215526)	(95, 36.61385502889713)	(100, 36.431881702643544)	(105, 36.4446383585891)	(110, 36.07713618546605)	(115, 36.318041336942265)	(120, 36.32436300959683)	(125, 36.33748470327222)	(130, 36.00539433952378)	(135, 36.38020666563691)	(140, 35.47917029768503)	(145, 35.22310750011441)	(150, 34.414794191077476)
SRR23609081_1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609081_2	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
