Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR23609077_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 2.5)	(24.0, 3.5)	(25.0, 2.0)	(26.0, 4.0)	(27.0, 6.5)	(28.0, 8.5)	(29.0, 11.5)	(30.0, 22.5)	(31.0, 69.0)	(32.0, 330.0)	(33.0, 1892.5)	(34.0, 8258.0)	(35.0, 20295.0)	(36.0, 17536.5)	(37.0, 6313.5)	(38.0, 12226.0)	(39.0, 29240.0)	(40.0, 25362.5)	(41.0, 6979.5)	(42.0, 1217.5)	(43.0, 197.0)	(44.0, 51.5)	(45.0, 18.0)	(46.0, 9.5)	(47.0, 4.0)	(48.0, 6.0)	(49.0, 6.5)	(50.0, 1.0)	(51.0, 0.0)	(52.0, 0.5)	(53.0, 0.5)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 1.0)	(57.0, 1.0)	(58.0, 1.5)	(59.0, 5.0)	(60.0, 5.0)	(61.0, 1.5)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609077_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 2.0)	(6.0, 2.5)	(7.0, 5.0)	(8.0, 5.0)	(9.0, 3.5)	(10.0, 4.0)	(11.0, 3.5)	(12.0, 2.5)	(13.0, 2.5)	(14.0, 3.5)	(15.0, 2.5)	(16.0, 0.5)	(17.0, 2.5)	(18.0, 3.0)	(19.0, 0.5)	(20.0, 0.5)	(21.0, 2.0)	(22.0, 3.0)	(23.0, 2.5)	(24.0, 2.0)	(25.0, 1.5)	(26.0, 0.5)	(27.0, 3.0)	(28.0, 7.0)	(29.0, 14.0)	(30.0, 27.5)	(31.0, 69.0)	(32.0, 306.0)	(33.0, 1789.0)	(34.0, 7869.5)	(35.0, 19233.0)	(36.0, 16682.5)	(37.0, 6252.0)	(38.0, 12673.0)	(39.0, 29798.0)	(40.0, 25983.5)	(41.0, 7579.0)	(42.0, 1365.5)	(43.0, 219.5)	(44.0, 54.5)	(45.0, 20.5)	(46.0, 15.0)	(47.0, 10.0)	(48.0, 5.5)	(49.0, 4.5)	(50.0, 3.0)	(51.0, 1.0)	(52.0, 0.5)	(53.0, 2.5)	(54.0, 2.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.5)	(58.0, 0.5)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.5)	(63.0, 0.5)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 1.0)	(87.0, 1.5)	(88.0, 1.5)	(89.0, 1.0)	(90.0, 0.5)	(91.0, 1.0)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 11.5)
SRR23609078_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 2.5)	(14.0, 3.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 0.5)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 1.5)	(26.0, 0.5)	(27.0, 0.0)	(28.0, 3.0)	(29.0, 10.5)	(30.0, 58.0)	(31.0, 164.0)	(32.0, 263.5)	(33.0, 333.5)	(34.0, 867.5)	(35.0, 30341.5)	(36.0, 30446.5)	(37.0, 1157.5)	(38.0, 931.0)	(39.0, 29415.5)	(40.0, 31248.0)	(41.0, 2612.5)	(42.0, 295.5)	(43.0, 107.5)	(44.0, 42.5)	(45.0, 22.0)	(46.0, 14.0)	(47.0, 8.0)	(48.0, 11.5)	(49.0, 9.0)	(50.0, 0.5)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 1.0)	(54.0, 1.5)	(55.0, 0.5)	(56.0, 0.0)	(57.0, 0.5)	(58.0, 0.5)	(59.0, 0.5)	(60.0, 0.5)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609078_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.5)	(20.0, 0.5)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 0.5)	(24.0, 0.5)	(25.0, 1.0)	(26.0, 1.5)	(27.0, 2.0)	(28.0, 5.5)	(29.0, 11.0)	(30.0, 50.0)	(31.0, 156.0)	(32.0, 246.5)	(33.0, 269.0)	(34.0, 815.5)	(35.0, 28380.5)	(36.0, 28631.5)	(37.0, 1306.5)	(38.0, 990.5)	(39.0, 30962.0)	(40.0, 32948.0)	(41.0, 2866.0)	(42.0, 357.5)	(43.0, 132.0)	(44.0, 66.0)	(45.0, 38.0)	(46.0, 19.0)	(47.0, 12.5)	(48.0, 9.5)	(49.0, 6.5)	(50.0, 2.0)	(51.0, 0.0)	(52.0, 0.5)	(53.0, 0.5)	(54.0, 0.5)	(55.0, 0.5)	(56.0, 0.0)	(57.0, 0.5)	(58.0, 0.5)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.5)	(62.0, 0.5)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 1.0)	(100.0, 7.5)
SRR23609079_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.5)	(20.0, 2.5)	(21.0, 2.5)	(22.0, 1.0)	(23.0, 0.5)	(24.0, 0.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 1.5)	(28.0, 4.5)	(29.0, 9.0)	(30.0, 17.0)	(31.0, 38.0)	(32.0, 173.0)	(33.0, 1045.0)	(34.0, 4636.5)	(35.0, 13136.0)	(36.0, 11361.5)	(37.0, 2955.5)	(38.0, 5469.0)	(39.0, 15458.5)	(40.0, 14340.0)	(41.0, 4895.5)	(42.0, 1797.5)	(43.0, 295.0)	(44.0, 43.0)	(45.0, 15.0)	(46.0, 14.0)	(47.0, 14.0)	(48.0, 11.0)	(49.0, 10.5)	(50.0, 13.0)	(51.0, 17.0)	(52.0, 11.0)	(53.0, 3.0)	(54.0, 3.0)	(55.0, 3.0)	(56.0, 5.0)	(57.0, 8.0)	(58.0, 4.5)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 1.0)	(63.0, 1.0)	(64.0, 0.5)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609079_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 0.5)	(6.0, 1.5)	(7.0, 4.0)	(8.0, 5.5)	(9.0, 5.0)	(10.0, 3.0)	(11.0, 2.0)	(12.0, 1.5)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 2.5)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.5)	(19.0, 1.0)	(20.0, 0.5)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 3.0)	(25.0, 4.0)	(26.0, 3.5)	(27.0, 5.0)	(28.0, 6.5)	(29.0, 14.5)	(30.0, 21.0)	(31.0, 41.5)	(32.0, 175.0)	(33.0, 964.0)	(34.0, 4250.0)	(35.0, 11881.5)	(36.0, 10327.0)	(37.0, 2923.5)	(38.0, 5855.5)	(39.0, 16516.0)	(40.0, 15247.5)	(41.0, 5146.0)	(42.0, 1895.0)	(43.0, 324.0)	(44.0, 45.0)	(45.0, 16.5)	(46.0, 13.5)	(47.0, 8.0)	(48.0, 9.5)	(49.0, 12.5)	(50.0, 10.5)	(51.0, 10.5)	(52.0, 7.5)	(53.0, 3.5)	(54.0, 3.5)	(55.0, 3.0)	(56.0, 1.0)	(57.0, 1.0)	(58.0, 1.0)	(59.0, 0.5)	(60.0, 0.5)	(61.0, 1.0)	(62.0, 1.5)	(63.0, 0.5)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.5)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 1.0)	(88.0, 1.0)	(89.0, 1.0)	(90.0, 1.0)	(91.0, 1.0)	(92.0, 3.0)	(93.0, 3.0)	(94.0, 1.5)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 8.0)
SRR23609080_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 0.5)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.5)	(23.0, 1.0)	(24.0, 2.5)	(25.0, 2.0)	(26.0, 0.0)	(27.0, 2.0)	(28.0, 4.0)	(29.0, 8.5)	(30.0, 55.0)	(31.0, 142.0)	(32.0, 203.0)	(33.0, 264.0)	(34.0, 901.5)	(35.0, 34366.5)	(36.0, 34472.5)	(37.0, 1204.5)	(38.0, 1056.0)	(39.0, 27663.0)	(40.0, 29140.5)	(41.0, 6115.0)	(42.0, 4024.5)	(43.0, 217.0)	(44.0, 148.5)	(45.0, 45.5)	(46.0, 34.5)	(47.0, 24.0)	(48.0, 22.5)	(49.0, 15.0)	(50.0, 14.0)	(51.0, 28.0)	(52.0, 23.0)	(53.0, 9.5)	(54.0, 7.0)	(55.0, 3.0)	(56.0, 4.5)	(57.0, 6.0)	(58.0, 4.0)	(59.0, 3.5)	(60.0, 2.5)	(61.0, 1.0)	(62.0, 1.5)	(63.0, 2.5)	(64.0, 5.0)	(65.0, 3.5)	(66.0, 0.0)	(67.0, 0.5)	(68.0, 0.5)	(69.0, 0.5)	(70.0, 1.0)	(71.0, 1.0)	(72.0, 1.0)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609080_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.5)	(17.0, 1.0)	(18.0, 0.5)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 1.0)	(24.0, 1.5)	(25.0, 1.0)	(26.0, 1.5)	(27.0, 2.0)	(28.0, 2.5)	(29.0, 7.5)	(30.0, 42.5)	(31.0, 149.5)	(32.0, 252.5)	(33.0, 288.0)	(34.0, 780.0)	(35.0, 29976.0)	(36.0, 30323.0)	(37.0, 1363.5)	(38.0, 1213.5)	(39.0, 31150.0)	(40.0, 32837.5)	(41.0, 6745.5)	(42.0, 4362.5)	(43.0, 250.0)	(44.0, 143.0)	(45.0, 54.5)	(46.0, 47.0)	(47.0, 37.0)	(48.0, 25.5)	(49.0, 12.0)	(50.0, 12.5)	(51.0, 30.5)	(52.0, 28.5)	(53.0, 8.0)	(54.0, 5.0)	(55.0, 3.5)	(56.0, 2.5)	(57.0, 4.0)	(58.0, 3.0)	(59.0, 3.0)	(60.0, 2.5)	(61.0, 0.0)	(62.0, 3.0)	(63.0, 3.5)	(64.0, 2.5)	(65.0, 3.5)	(66.0, 2.0)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.5)	(71.0, 0.5)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 1.5)	(100.0, 11.0)
SRR23609081_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 0.5)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 7.5)	(26.0, 15.5)	(27.0, 62.5)	(28.0, 270.0)	(29.0, 673.5)	(30.0, 1157.0)	(31.0, 1612.5)	(32.0, 2815.0)	(33.0, 3700.0)	(34.0, 3032.5)	(35.0, 2402.0)	(36.0, 2187.0)	(37.0, 2678.5)	(38.0, 4861.5)	(39.0, 4925.0)	(40.0, 3324.0)	(41.0, 3016.0)	(42.0, 2471.5)	(43.0, 1691.5)	(44.0, 1408.0)	(45.0, 975.0)	(46.0, 697.5)	(47.0, 1412.0)	(48.0, 1447.0)	(49.0, 847.5)	(50.0, 504.5)	(51.0, 277.5)	(52.0, 126.5)	(53.0, 54.5)	(54.0, 27.0)	(55.0, 22.0)	(56.0, 17.0)	(57.0, 15.0)	(58.0, 16.0)	(59.0, 13.0)	(60.0, 9.5)	(61.0, 8.5)	(62.0, 5.0)	(63.0, 3.0)	(64.0, 4.0)	(65.0, 3.0)	(66.0, 2.5)	(67.0, 2.5)	(68.0, 1.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.5)	(73.0, 1.0)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609081_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 0.5)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.5)	(22.0, 1.0)	(23.0, 2.5)	(24.0, 3.5)	(25.0, 5.0)	(26.0, 13.5)	(27.0, 55.0)	(28.0, 261.5)	(29.0, 667.0)	(30.0, 1153.5)	(31.0, 1603.0)	(32.0, 2870.0)	(33.0, 3784.5)	(34.0, 3105.5)	(35.0, 2462.5)	(36.0, 2260.5)	(37.0, 2717.5)	(38.0, 4603.5)	(39.0, 4628.0)	(40.0, 3334.5)	(41.0, 3117.0)	(42.0, 2482.0)	(43.0, 1655.5)	(44.0, 1426.5)	(45.0, 1023.5)	(46.0, 707.0)	(47.0, 1415.5)	(48.0, 1453.5)	(49.0, 857.0)	(50.0, 514.0)	(51.0, 284.5)	(52.0, 127.5)	(53.0, 56.5)	(54.0, 29.5)	(55.0, 25.0)	(56.0, 18.5)	(57.0, 10.5)	(58.0, 10.0)	(59.0, 9.5)	(60.0, 11.0)	(61.0, 10.5)	(62.0, 5.5)	(63.0, 3.0)	(64.0, 3.5)	(65.0, 3.5)	(66.0, 2.0)	(67.0, 1.5)	(68.0, 1.5)	(69.0, 1.5)	(70.0, 1.0)	(71.0, 0.0)	(72.0, 1.0)	(73.0, 1.5)	(74.0, 1.0)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 10.0)
