Sample	0	1	2	3	4	5	6	7	8	9	10
SRR23609077_1	(30.0, 130065.0)										
SRR23609077_2	(30.0, 130065.0)										
SRR23609078_1	(28.0, 2.0)	(29.0, 19.0)	(30.0, 86.0)	(31.0, 367.0)	(32.0, 1062.0)	(33.0, 2599.0)	(34.0, 5757.0)	(35.0, 15853.0)	(36.0, 100796.0)	(37.0, 729.0)	
SRR23609078_2	(28.0, 6.0)	(29.0, 37.0)	(30.0, 151.0)	(31.0, 500.0)	(32.0, 1269.0)	(33.0, 2930.0)	(34.0, 5830.0)	(35.0, 14249.0)	(36.0, 101753.0)	(37.0, 545.0)	
SRR23609079_1	(30.0, 75815.0)										
SRR23609079_2	(30.0, 75815.0)										
SRR23609080_1	(29.0, 15.0)	(30.0, 96.0)	(31.0, 387.0)	(32.0, 1137.0)	(33.0, 2740.0)	(34.0, 5929.0)	(35.0, 16801.0)	(36.0, 111168.0)	(37.0, 880.0)		
SRR23609080_2	(28.0, 2.0)	(29.0, 40.0)	(30.0, 140.0)	(31.0, 497.0)	(32.0, 1399.0)	(33.0, 2984.0)	(34.0, 6084.0)	(35.0, 15411.0)	(36.0, 111822.0)	(37.0, 774.0)	
SRR23609081_1	(30.0, 38621.0)										
SRR23609081_2	(30.0, 38621.0)										
SRR23609082_1	(28.0, 2.0)	(29.0, 9.0)	(30.0, 67.0)	(31.0, 226.0)	(32.0, 655.0)	(33.0, 1561.0)	(34.0, 3280.0)	(35.0, 9770.0)	(36.0, 56222.0)	(37.0, 4472.0)	
SRR23609082_2	(28.0, 4.0)	(29.0, 27.0)	(30.0, 107.0)	(31.0, 331.0)	(32.0, 874.0)	(33.0, 1781.0)	(34.0, 3310.0)	(35.0, 8250.0)	(36.0, 60146.0)	(37.0, 1434.0)	
SRR23609083_1	(29.0, 11.0)	(30.0, 49.0)	(31.0, 182.0)	(32.0, 530.0)	(33.0, 1167.0)	(34.0, 2431.0)	(35.0, 7367.0)	(36.0, 37568.0)	(37.0, 3119.0)		
SRR23609083_2	(28.0, 6.0)	(29.0, 16.0)	(30.0, 84.0)	(31.0, 238.0)	(32.0, 596.0)	(33.0, 1197.0)	(34.0, 2315.0)	(35.0, 5957.0)	(36.0, 40988.0)	(37.0, 1027.0)	
SRR23609084_1	(28.0, 3.0)	(29.0, 17.0)	(30.0, 75.0)	(31.0, 323.0)	(32.0, 825.0)	(33.0, 1896.0)	(34.0, 3916.0)	(35.0, 11812.0)	(36.0, 57971.0)	(37.0, 3232.0)	
SRR23609084_2	(27.0, 1.0)	(28.0, 3.0)	(29.0, 27.0)	(30.0, 133.0)	(31.0, 399.0)	(32.0, 979.0)	(33.0, 1917.0)	(34.0, 3856.0)	(35.0, 9414.0)	(36.0, 62031.0)	(37.0, 1310.0)
SRR23609085_1	(28.0, 3.0)	(29.0, 7.0)	(30.0, 59.0)	(31.0, 212.0)	(32.0, 554.0)	(33.0, 1251.0)	(34.0, 2663.0)	(35.0, 7776.0)	(36.0, 45419.0)	(37.0, 2184.0)	
SRR23609085_2	(27.0, 1.0)	(28.0, 1.0)	(29.0, 14.0)	(30.0, 78.0)	(31.0, 260.0)	(32.0, 681.0)	(33.0, 1354.0)	(34.0, 2704.0)	(35.0, 6425.0)	(36.0, 47671.0)	(37.0, 939.0)
SRR23609086_1	(30.0, 94190.0)										
SRR23609086_2	(30.0, 94190.0)										
