Sample	Unique Reads	Duplicate Reads
SRR23609077_1	5804.0	124261.0
SRR23609077_2	6781.0	123284.0
SRR23609078_1	1273.0	125997.0
SRR23609078_2	1353.0	125917.0
SRR23609079_1	4062.0	71753.0
SRR23609079_2	4646.0	71169.0
SRR23609080_1	1598.0	137555.0
SRR23609080_2	1735.0	137418.0
SRR23609081_1	9222.0	29399.0
SRR23609081_2	9351.0	29270.0
SRR23609082_1	8886.0	67378.0
SRR23609082_2	9160.0	67104.0
SRR23609083_1	4065.0	48359.0
SRR23609083_2	4221.0	48203.0
SRR23609084_1	13183.0	66887.0
SRR23609084_2	13336.0	66734.0
SRR23609085_1	8872.0	51256.0
SRR23609085_2	9012.0	51116.0
SRR23609086_1	7378.0	86812.0
SRR23609086_2	8169.0	86021.0
