Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23609077_1	(1.0, 2.9362241955945105)	(2.0, 1.0579325721754507)	(3.0, 0.6735093991465806)	(4.0, 0.559720139930035)	(5.0, 0.3959558682197363)	(6.0, 0.35520701187867604)	(7.0, 0.37673470956829275)	(8.0, 0.2952369968861723)	(9.0, 0.3321416214969438)	('>10', 5.326567485488025)	('>50', 3.335255449198478)	('>100', 6.702033598585324)	('>500', 5.540306769692077)	('>1k', 25.62334217506631)	('>5k', 0.0)	('>10k+', 46.48983200707338)
SRR23609077_2	(1.0, 3.6197285972398414)	(2.0, 1.1870987583131511)	(3.0, 0.6896551724137931)	(4.0, 0.4582324222504133)	(5.0, 0.3959558682197363)	(6.0, 0.38749855841310116)	(7.0, 0.33367931418905933)	(8.0, 0.30753853842309614)	(9.0, 0.4082574097566601)	('>10', 5.357321339330335)	('>50', 3.5928189751278206)	('>100', 7.350939914658055)	('>500', 4.607696151924038)	('>1k', 25.96086572098566)	('>5k', 0.0)	('>10k+', 45.34271325875523)
SRR23609078_1	(1.0, 0.5390115502475052)	(2.0, 0.21686178989549776)	(3.0, 0.19093266284277519)	(4.0, 0.1540033000707158)	(5.0, 0.18071815824624815)	(6.0, 0.1320028286320421)	(7.0, 0.1540033000707158)	(8.0, 0.1634320735444331)	(9.0, 0.13436002200047145)	('>10', 2.2416908933762865)	('>50', 0.3614363164924963)	('>100', 0.3834367879311699)	('>500', 1.1141667321442603)	('>1k', 2.908776616641785)	('>5k', 0.0)	('>10k+', 91.1251669678636)
SRR23609078_2	(1.0, 0.6034415023179068)	(2.0, 0.18386108273748722)	(3.0, 0.1885754694743459)	(4.0, 0.11628820617584662)	(5.0, 0.1689321914041015)	(6.0, 0.19328985621120454)	(7.0, 0.15950341793038422)	(8.0, 0.20743301642178047)	(9.0, 0.17678950263219925)	('>10', 2.3532647128152746)	('>50', 0.3135067180011)	('>100', 0.546868861475603)	('>500', 1.1558104816531782)	('>1k', 2.8749901783609646)	('>5k', 0.0)	('>10k+', 90.75744480238862)
SRR23609079_1	(1.0, 3.541515531227329)	(2.0, 1.2794301919145288)	(3.0, 0.8665831299874696)	(4.0, 0.6014640902196136)	(5.0, 0.5210050781507617)	(6.0, 0.44318406647761)	(7.0, 0.32315504847325727)	(8.0, 0.3904240585636088)	(9.0, 0.4036140605421091)	('>10', 6.460462969069446)	('>50', 3.077227461584119)	('>100', 10.132559519883928)	('>500', 13.854778078216711)	('>1k', 7.788696168304425)	('>5k', 0.0)	('>10k+', 50.315900547385084)
SRR23609079_2	(1.0, 4.266965640044846)	(2.0, 1.3427422014113302)	(3.0, 0.7637011145551672)	(4.0, 0.6331200949680142)	(5.0, 0.573765086064763)	(6.0, 0.45901206885181034)	(7.0, 0.37855305678295853)	(8.0, 0.3693200553980083)	(9.0, 0.24929103739365563)	('>10', 7.019719052957858)	('>50', 2.814746422211963)	('>100', 9.044384356657654)	('>500', 15.23049528457429)	('>1k', 7.900811185121678)	('>5k', 0.0)	('>10k+', 48.953373343006)
SRR23609080_1	(1.0, 0.7064166780450296)	(2.0, 0.232837236710671)	(3.0, 0.18756332957248495)	(4.0, 0.1408521555410232)	(5.0, 0.14013352209438532)	(6.0, 0.13366582107464445)	(7.0, 0.10563911665576739)	(8.0, 0.16097389204688364)	(9.0, 0.10995091733559464)	('>10', 2.0653525256372482)	('>50', 0.3449440543861792)	('>100', 0.5246024160456475)	('>500', 0.6223365647883984)	('>1k', 2.31471833162059)	('>5k', 5.389032216337413)	('>10k+', 86.82098122210805)
SRR23609080_2	(1.0, 0.7754054889222655)	(2.0, 0.22277636845774076)	(3.0, 0.20912233297162114)	(4.0, 0.16384842583343515)	(5.0, 0.14013352209438532)	(6.0, 0.18540742923257134)	(7.0, 0.13582172141455806)	(8.0, 0.1322285541813687)	(9.0, 0.2134341336514484)	('>10', 2.1436835713207767)	('>50', 0.40890243113694996)	('>100', 0.595747127262797)	('>500', 0.6022148282825379)	('>1k', 2.3585549718655003)	('>5k', 5.803683715047465)	('>10k+', 85.90903537832459)
SRR23609081_1	(1.0, 18.64529660029518)	(2.0, 3.9408611895082983)	(3.0, 2.4779265166619195)	(4.0, 1.9160560316926023)	(5.0, 1.488827321923306)	(6.0, 1.0874912612309364)	(7.0, 1.4862380570156133)	(8.0, 1.0149918438155408)	(9.0, 0.7923150617539682)	('>10', 16.01719271898708)	('>50', 9.383496025478365)	('>100', 21.219025918541725)	('>500', 11.34874809041713)	('>1k', 9.181533362678335)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609081_2	(1.0, 19.02074001191062)	(2.0, 3.9563967789544545)	(3.0, 2.5866756427850133)	(4.0, 1.7089148390771862)	(5.0, 1.5017736464617695)	(6.0, 1.3671318712617488)	(7.0, 1.0149918438155408)	(8.0, 0.9528494860309158)	(9.0, 0.7457082934154993)	('>10', 16.213976851971726)	('>50', 9.383496025478365)	('>100', 24.085342171357553)	('>500', 11.63615649517102)	('>1k', 5.825846042308588)	('>5k', 0.0)	('>10k+', 0.0)
