Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR23609077_1	(50, 6.0)	(52, 6.0)	(54, 4.0)	(56, 0.0)	(58, 5.0)	(60, 0.0)	(62, 18.0)	(64, 0.0)	(66, 1.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 3.0)	(80, 0.0)	(82, 0.0)	(84, 3.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 4.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 3.0)	(120, 1.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 17.0)	(130, 0.0)	(132, 9.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 4.0)	(148, 5.0)	(150, 129976.0)
SRR23609077_2	(50, 3.0)	(55, 0.0)	(60, 15.0)	(65, 0.0)	(70, 3.0)	(75, 11.0)	(80, 0.0)	(85, 0.0)	(90, 16.0)	(95, 0.0)	(100, 2.0)	(105, 0.0)	(110, 2.0)	(115, 1.0)	(120, 0.0)	(125, 19.0)	(130, 5.0)	(135, 4.0)	(140, 0.0)	(145, 5.0)	(150, 129979.0)																														
SRR23609078_1	(50, 119.0)	(55, 332.0)	(60, 136.0)	(65, 236.0)	(70, 266.0)	(75, 351.0)	(80, 263.0)	(85, 149.0)	(90, 126.0)	(95, 149.0)	(100, 336.0)	(105, 556.0)	(110, 350.0)	(115, 402.0)	(120, 326.0)	(125, 410.0)	(130, 936.0)	(135, 335.0)	(140, 754.0)	(145, 76964.0)	(150, 43774.0)																														
SRR23609078_2	(50, 161.0)	(55, 235.0)	(60, 128.0)	(65, 250.0)	(70, 279.0)	(75, 326.0)	(80, 192.0)	(85, 192.0)	(90, 147.0)	(95, 123.0)	(100, 241.0)	(105, 326.0)	(110, 209.0)	(115, 212.0)	(120, 208.0)	(125, 224.0)	(130, 337.0)	(135, 341.0)	(140, 424.0)	(145, 58088.0)	(150, 64627.0)																														
SRR23609079_1	(50, 3.0)	(52, 2.0)	(54, 3.0)	(56, 0.0)	(58, 1.0)	(60, 0.0)	(62, 7.0)	(64, 0.0)	(66, 1.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 4.0)	(80, 0.0)	(82, 0.0)	(84, 1.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 2.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 2.0)	(116, 1.0)	(118, 1.0)	(120, 1.0)	(122, 0.0)	(124, 0.0)	(126, 1.0)	(128, 8.0)	(130, 0.0)	(132, 6.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 2.0)	(148, 0.0)	(150, 75769.0)
SRR23609079_2	(60, 5.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.0)	(74, 1.0)	(76, 8.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 1.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 10.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 2.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 2.0)	(124, 6.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 3.0)	(134, 0.0)	(136, 1.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 3.0)	(146, 0.0)	(148, 0.0)	(150, 75772.0)					
SRR23609080_1	(50, 129.0)	(55, 297.0)	(60, 143.0)	(65, 239.0)	(70, 267.0)	(75, 388.0)	(80, 292.0)	(85, 151.0)	(90, 129.0)	(95, 134.0)	(100, 296.0)	(105, 268.0)	(110, 236.0)	(115, 501.0)	(120, 325.0)	(125, 397.0)	(130, 1023.0)	(135, 297.0)	(140, 1571.0)	(145, 64520.0)	(150, 67550.0)																														
SRR23609080_2	(50, 151.0)	(55, 266.0)	(60, 169.0)	(65, 259.0)	(70, 326.0)	(75, 270.0)	(80, 213.0)	(85, 214.0)	(90, 175.0)	(95, 116.0)	(100, 273.0)	(105, 255.0)	(110, 243.0)	(115, 219.0)	(120, 190.0)	(125, 217.0)	(130, 416.0)	(135, 243.0)	(140, 558.0)	(145, 57877.0)	(150, 76503.0)																														
SRR23609081_1	(50, 4247.0)	(55, 4379.0)	(60, 4944.0)	(65, 290.0)	(70, 127.0)	(75, 111.0)	(80, 40.0)	(85, 40.0)	(90, 34.0)	(95, 36.0)	(100, 36.0)	(105, 17.0)	(110, 18.0)	(115, 11.0)	(120, 15.0)	(125, 15.0)	(130, 8.0)	(135, 5.0)	(140, 2.0)	(145, 1.0)	(150, 24245.0)																														
SRR23609081_2	(50, 4237.0)	(55, 4377.0)	(60, 4944.0)	(65, 291.0)	(70, 131.0)	(75, 108.0)	(80, 39.0)	(85, 42.0)	(90, 37.0)	(95, 36.0)	(100, 37.0)	(105, 18.0)	(110, 14.0)	(115, 13.0)	(120, 16.0)	(125, 16.0)	(130, 9.0)	(135, 3.0)	(140, 0.0)	(145, 3.0)	(150, 24250.0)																														
SRR23609082_1	(50, 7388.0)	(55, 7395.0)	(60, 8511.0)	(65, 277.0)	(70, 162.0)	(75, 178.0)	(80, 154.0)	(85, 124.0)	(90, 123.0)	(95, 154.0)	(100, 147.0)	(105, 168.0)	(110, 196.0)	(115, 187.0)	(120, 200.0)	(125, 203.0)	(130, 274.0)	(135, 332.0)	(140, 388.0)	(145, 9518.0)	(150, 40185.0)																														
SRR23609082_2	(50, 7443.0)	(55, 7440.0)	(60, 8485.0)	(65, 272.0)	(70, 179.0)	(75, 126.0)	(80, 104.0)	(85, 85.0)	(90, 100.0)	(95, 97.0)	(100, 85.0)	(105, 104.0)	(110, 101.0)	(115, 107.0)	(120, 94.0)	(125, 110.0)	(130, 109.0)	(135, 120.0)	(140, 125.0)	(145, 8393.0)	(150, 42585.0)																														
SRR23609083_1	(50, 5306.0)	(55, 5405.0)	(60, 5933.0)	(65, 196.0)	(70, 141.0)	(75, 108.0)	(80, 125.0)	(85, 92.0)	(90, 95.0)	(95, 156.0)	(100, 118.0)	(105, 135.0)	(110, 123.0)	(115, 193.0)	(120, 192.0)	(125, 185.0)	(130, 204.0)	(135, 264.0)	(140, 246.0)	(145, 6812.0)	(150, 26395.0)																														
SRR23609083_2	(50, 5323.0)	(55, 5415.0)	(60, 5924.0)	(65, 193.0)	(70, 140.0)	(75, 91.0)	(80, 87.0)	(85, 59.0)	(90, 80.0)	(95, 59.0)	(100, 60.0)	(105, 69.0)	(110, 69.0)	(115, 87.0)	(120, 67.0)	(125, 71.0)	(130, 66.0)	(135, 78.0)	(140, 67.0)	(145, 5878.0)	(150, 28541.0)																														
SRR23609084_1	(50, 5796.0)	(55, 6374.0)	(60, 5419.0)	(65, 255.0)	(70, 174.0)	(75, 182.0)	(80, 200.0)	(85, 143.0)	(90, 176.0)	(95, 188.0)	(100, 225.0)	(105, 217.0)	(110, 282.0)	(115, 286.0)	(120, 314.0)	(125, 384.0)	(130, 384.0)	(135, 421.0)	(140, 320.0)	(145, 8876.0)	(150, 49454.0)																														
SRR23609084_2	(50, 5829.0)	(55, 6391.0)	(60, 5384.0)	(65, 266.0)	(70, 206.0)	(75, 141.0)	(80, 134.0)	(85, 125.0)	(90, 134.0)	(95, 107.0)	(100, 126.0)	(105, 140.0)	(110, 121.0)	(115, 135.0)	(120, 157.0)	(125, 146.0)	(130, 119.0)	(135, 152.0)	(140, 129.0)	(145, 8891.0)	(150, 51237.0)																														
SRR23609085_1	(50, 4045.0)	(55, 4118.0)	(60, 4041.0)	(65, 168.0)	(70, 148.0)	(75, 132.0)	(80, 117.0)	(85, 106.0)	(90, 119.0)	(95, 121.0)	(100, 140.0)	(105, 162.0)	(110, 181.0)	(115, 187.0)	(120, 171.0)	(125, 210.0)	(130, 230.0)	(135, 233.0)	(140, 158.0)	(145, 6947.0)	(150, 38394.0)																														
SRR23609085_2	(50, 4057.0)	(55, 4132.0)	(60, 3991.0)	(65, 206.0)	(70, 173.0)	(75, 115.0)	(80, 105.0)	(85, 69.0)	(90, 86.0)	(95, 62.0)	(100, 84.0)	(105, 75.0)	(110, 103.0)	(115, 82.0)	(120, 103.0)	(125, 113.0)	(130, 89.0)	(135, 99.0)	(140, 94.0)	(145, 6738.0)	(150, 39552.0)																														
SRR23609086_1	(50, 6703.0)	(55, 7568.0)	(60, 6577.0)	(65, 451.0)	(70, 204.0)	(75, 182.0)	(80, 84.0)	(85, 81.0)	(90, 91.0)	(95, 46.0)	(100, 50.0)	(105, 48.0)	(110, 45.0)	(115, 37.0)	(120, 23.0)	(125, 30.0)	(130, 21.0)	(135, 8.0)	(140, 5.0)	(145, 3.0)	(150, 71933.0)																														
SRR23609086_2	(50, 6694.0)	(55, 7566.0)	(60, 6570.0)	(65, 454.0)	(70, 203.0)	(75, 174.0)	(80, 88.0)	(85, 76.0)	(90, 92.0)	(95, 50.0)	(100, 45.0)	(105, 48.0)	(110, 48.0)	(115, 37.0)	(120, 27.0)	(125, 28.0)	(130, 15.0)	(135, 9.0)	(140, 3.0)	(145, 1.0)	(150, 71962.0)																														
