Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR23609077_1	SRR23609077_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130065.0	0.0	51-150	37.0	4.462384192519124	150.46160381347786	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609077_2	SRR23609077_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130065.0	0.0	50-150	37.0	5.213547072617537	150.46600930304078	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609078_1	SRR23609078_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127270.0	0.0	50-150	37.0	0.9994499882140332	146.1943820224719	147	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609078_2	SRR23609078_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127270.0	0.0	50-150	37.0	1.063094209161625	147.14979570990806	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609079_1	SRR23609079_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75815.0	0.0	51-150	39.0	5.357778803666821	150.46689309503395	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609079_2	SRR23609079_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75815.0	0.0	60-150	39.0	6.128074919211238	150.47071819560773	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609080_1	SRR23609080_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139153.0	0.0	50-150	39.0	1.1483762477273218	146.91074572592757	147	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609080_2	SRR23609080_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139153.0	0.0	50-150	40.0	1.2468290299167104	147.3652131107486	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609081_1	SRR23609081_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621.0	0.0	50-150	37.0	23.878200978742132	116.28516869060874	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609081_2	SRR23609081_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38621.0	0.0	50-150	37.0	24.212216151834497	116.30387612956682	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609082_1	SRR23609082_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76264.0	0.0	50-150	37.0	11.651631175915242	119.81656482744152	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609082_2	SRR23609082_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76264.0	0.0	50-150	37.0	12.010909472359172	120.27943066191125	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609083_1	SRR23609083_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52424.0	0.0	50-150	37.0	7.754082099801618	118.40312643064246	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609083_2	SRR23609083_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52424.0	0.0	50-150	37.0	8.051655730199908	119.12685983518999	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609084_1	SRR23609084_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80070.0	0.0	50-150	42.0	16.464343699263146	127.47944298738604	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609084_2	SRR23609084_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80070.0	0.0	50-150	42.0	16.655426501810915	128.10234170101162	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609085_1	SRR23609085_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60128.0	0.0	50-150	41.0	14.755188930282065	129.30257118147952	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609085_2	SRR23609085_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60128.0	0.0	50-150	41.0	14.988025545502929	129.78883382118147	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609086_1	SRR23609086_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94190.0	0.0	50-150	42.0	7.833103301836713	128.78809321584032	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR23609086_2	SRR23609086_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94190.0	0.0	50-150	42.0	8.672895211805924	128.80997982800722	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
