Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR23609077_1	95.53761580748088	37.0	150.46160381347786	150	40.0	0.130065
SRR23609077_2	94.78645292738247	37.0	150.46600930304078	150	40.0	0.130065
SRR23609078_1	99.00055001178596	37.0	146.1943820224719	147	40.0	0.12727
SRR23609078_2	98.93690579083838	37.0	147.14979570990806	150	40.0	0.12727
SRR23609079_1	94.64222119633318	39.0	150.46689309503395	150	40.0	0.075815
SRR23609079_2	93.87192508078876	39.0	150.47071819560773	150	40.0	0.075815
SRR23609080_1	98.85162375227267	39.0	146.91074572592757	147	40.0	0.139153
SRR23609080_2	98.75317097008329	40.0	147.3652131107486	150	40.0	0.139153
SRR23609081_1	76.12179902125787	37.0	116.28516869060874	150	40.0	0.038620999999999996
SRR23609081_2	75.7877838481655	37.0	116.30387612956682	150	40.0	0.038620999999999996
SRR23609082_1	88.34836882408476	37.0	119.81656482744152	150	40.0	0.076264
SRR23609082_2	87.98909052764083	37.0	120.27943066191125	150	40.0	0.076264
SRR23609083_1	92.24591790019838	37.0	118.40312643064246	150	40.0	0.052424
SRR23609083_2	91.94834426980009	37.0	119.12685983518999	150	40.0	0.052424
SRR23609084_1	83.53565630073686	42.0	127.47944298738604	150	40.0	0.08007
SRR23609084_2	83.34457349818908	42.0	128.10234170101162	150	40.0	0.08007
SRR23609085_1	85.24481106971794	41.0	129.30257118147952	150	40.0	0.060127999999999994
SRR23609085_2	85.01197445449708	41.0	129.78883382118147	150	40.0	0.060127999999999994
SRR23609086_1	92.16689669816328	42.0	128.78809321584032	150	40.0	0.09419
SRR23609086_2	91.32710478819408	42.0	128.80997982800722	150	40.0	0.09419
