Module	Section	Sample Name	Source
FastQC	all_sections	SRR23609077_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609077_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609077_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609077_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609078_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609078_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609078_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609078_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609079_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609079_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609079_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609079_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609080_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609080_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609080_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609080_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609081_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609081_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609081_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609081_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609082_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609082_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609082_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609082_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609083_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609083_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609083_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609083_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609084_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609084_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609084_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609084_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609085_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609085_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609085_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609085_2_trimmed_fastqc.zip
FastQC	all_sections	SRR23609086_1	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609086_1_trimmed_fastqc.zip
FastQC	all_sections	SRR23609086_2	/home/macoe/PRODATA_project/snakemake/trimmedQC/SRR23609086_2_trimmed_fastqc.zip
